1 0 1 -0.554 -0.612 0.006 10.932	2 0.742 0.720 -0.006 4.163	3 0.554 0.583 -0.006 -5.631	4 -0.742 -0.688 0.006 -10.352
1 0 1 -0.554 -0.612 -0.017 10.932	2 0.742 0.720 -0.028 4.171	3 0.554 0.584 0.017 -5.648	4 -0.742 -0.688 -0.017 -10.308
2 0 1 -0.554 -0.612 0.017 10.932	2 0.742 0.720 -0.006 4.145	3 0.554 0.584 -0.028 -5.657	4 -0.742 -0.688 0.006 -10.273
3 0 1 -0.554 -0.612 -0.006 10.897	2 0.742 0.720 0.017 4.136	3 0.554 0.584 -0.017 -5.666	4 -0.742 -0.688 -0.006 -10.255
4 0 1 -0.554 -0.612 0.006 10.976	2 0.742 0.720 -0.040 4.119	3 0.554 0.584 0.006 -5.745	4 -0.742 -0.688 0.006 -10.193
4 0 1 -0.554 -0.612 -0.006 11.002	2 0.742 0.720 0.017 4.110	3 0.554 0.584 0.006 -5.736	4 -0.742 -0.688 0.017 -10.255
5 0 1 -0.554 -0.612 0.006 10.985	2 0.742 0.720 0.028 4.119	3 0.554 0.584 -0.017 -5.727	4 -0.741 -0.688 0.028 -10.167
6 0 1 -0.554 -0.612 0.028 11.011	2 0.741 0.720 -0.028 4.031	3 0.554 0.583 -0.028 -5.736	4 -0.741 -0.688 -0.006 -10.176
7 0 1 -0.553 -0.612 -0.006 11.046	2 0.741 0.720 0.006 4.048	3 0.553 0.584 -0.006 -5.815	4 -0.741 -0.688 -0.006 -10.149
7 0 1 -0.553 -0.612 -0.017 11.064	2 0.741 0.720 0.017 4.013	3 0.553 0.584 -0.017 -5.868	4 -0.741 -0.688 -0.040 -10.097
8 0 1 -0.553 -0.612 -0.006 11.134	2 0.741 0.720 0.006 3.969	3 0.552 0.583 -0.006 -5.912	4 -0.741 -0.688 -0.028 -10.018
9 0 1 -0.552 -0.612 -0.006 11.248	2 0.741 0.720 -0.006 3.890	3 0.552 0.583 -0.017 -6.018	4 -0.740 -0.688 0.006 -10.018
10 0 1 -0.552 -0.612 -0.017 11.380	2 0.740 0.720 -0.006 3.837	3 0.552 0.584 0.028 -6.167	4 -0.740 -0.688 -0.017 -9.938
10 0 1 -0.552 -0.612 -0.017 11.433	2 0.740 0.720 -0.028 3.811	3 0.551 0.583 0.017 -6.281	4 -0.740 -0.688 0.006 -9.912
11 0 1 -0.551 -0.612 0.006 11.512	2 0.740 0.720 0.017 3.758	3 0.550 0.583 0.017 -6.360	4 -0.739 -0.688 -0.006 -9.798
