194 -0.006 -3.829	R 58 1 3 0.307 0.319 -0.028 -3.785	4 -0.670 -0.594 0.006 8.980
L 59 1 1 -0.305 -0.353 0.028 16.804	2 0.671 0.570 -0.119 -2.000	R 49 0 3 0.025 0.022 0.221 0.312	4 -0.182 -0.188 0.028 2.176
L 60 1 1 -0.302 -0.351 0.051 17.305	2 0.671 0.569 -0.051 -1.938	R 50 0 3 0.035 0.028 0.062 0.224	4 -0.180 -0.187 0.017 2.448
L 61 1 1 -0.299 -0.349 0.051 17.385	2 0.672 0.566 -0.108 -1.763	R 50 0 3 0.035 0.037 0.233 -0.681	4 -0.179 -0.187 -0.006 2.413
L 62 1 1 -0.296 -0.347 0.074 17.516	2 0.672 0.563 -0.085 -1.736	R 51 0 3 0.046 0.044 0.392 0.198	4 -0.179 -0.186 0.074 2.396
L 62 1 1 -0.296 -0.344 0.085 16.927	2 0.673 0.561 -0.096 -1.578	R 52 0 3 0.057 0.052 0.255 1.007	4 -0.178 -0.184 0.028 2.299
L 63 1 1 -0.293 -0.342 0.051 17.015	2 0.673 0.559 -0.176 -2.976	R 53 0 3 0.068 0.061 0.119 -0.092	4 -0.177 -0.184 -0.040 2.396
L 64 1 1 -0.290 -0.340 0.051 17.455	2 0.673 0.560 0.028 -1.851	R 53 0 3 0.068 0.068 0.210 -0.127	4 -0.177 -0.184 -0.017 2.378
L 65 1 1 -0.288 -0.340 0.017 18.000	2 0.674 0.559 -0.017 -1.851	R 54 0 3 0.079 0.076 0.482 0.426	4 -0.177 -0.184 -0.006 2.378
L 65 1 1 -0.288 -0.338 0.017 17.780	2 0.674 0.560 0.017 -1.771	R 55 0 3 0.090 0.087 0.369 0.356	4 -0.178 -0.184 -0.074 2.246
L 66 1 1 -0.285 -0.337 0.028 -17.666	2 0.674 0.560 0.017 -1.789	R 56 0 3 0.102 0.095 -0.006 0.057	4 -0.179 -0.184 -0.017 1.807
L 67 1 1 -0.282 -0.336 0.074 -17.367	2 0.675 0.560 0.051 -1.657	R 56 0 3 0.102 0.105 0.210 -0.875	4 -0.182 -0.186 -0.017 2.026
L 68 1 1 -0.279 -0.334 0.074 -17.174	2 0.676 0.560 0.017 -1.411	R 57 0 3 0.114 0.113 0.516 -0.233	4 -0.182 -0.187 -0.028 1.754
L 68 1 1 -0.279 -0.332 -0.176 -17.393	2 0.677 0.560 0.028 -1.613	R 58 0 3 0.127 0.122 0.233 0.901	4 -0.185 -0.189 -0.096 1.455
L 69 1 1 -0.277 -0.331 0.040 -16.971	2 0.677 0.560 -0.006 -1.789	R 59 0 3 0.140 0.130 0.040 0.690	4 -0.190 -0.191 -0.085 0.734
L 70 1 1 -0.274 -0.329 0.062 -16.602	2 0.677 0.559 0.017 -2.026	R 59 0 3 0.140 0.141 0.358 -0.426	4 -0.195 -0.193 -0.040 1.270
L 71 1 1 -0.271 -0.328 0.040 -16.330	2 0.678 0.559 -0.017 -2.114	R 60 0 3 0.153 0.150 0.528 0.189	4 -0.195 -0.197 -0.051 0.549
L 71 1 1 -0.271 -0.326 0.085 -16.848	2 0.679 0.559 0.017 -2.053	R 61 0 3 0.166 0.161 0.244 1.226	4 -0.202 -0.200 -0.187 -0.778
L 72 1 1 -0.269 -0.324 0.051 -16.418	2 0.679 0.560 0.040 -1.947	R 62 0 3 0.180 0.167 -0.028 1.727	4 -0.210 -0.204 -0.131 -0.980
L 73 1 1 -0.266 -0.323 0.096 -16.198	2 0.680 0.560 0.040 -1.727	R 62 0 3 0.180 0.180 0.539 -0.154	4 -0.219 -0.212 -0.255 0.637
L 74 1 1 -0.264 -0.321 0.108 -16.303	2 0.681 0.560 0.017 -1.877	R 63 0 3 0.194 0.194 0.528 0.057	4 -0.219 -0.224 -0.414 1.068
L 74 1 1 -0.264 -0.318 0.040 -16.760	2 0.682 0.560 0.028 -1.604	R 64 0 3 0.208 0.197 0.108 3.046	4 -0.230 -0.232 -0.187 -0.136
L 75 1 1 -0.261 -0.316 0.085 -16.980	2 0.682 0.560 0.028 -1.560	R 65 0 3 0.223 0.209 0.369 1.121	4 -0.242 -0.234 -0.267 -1.859
L 76 1 1 -0.258 -0.313 0.074 -16.778	2 0.683 0.560 0.051 -1.727	R 65 0 3 0.223 0.228 0.550 -1.499	4 -0.255 -0.245 -0.312 1.182
L 77 1 1 -0.256 -0.312 0.051 -16.567	2 0.684 0.560 0.017 -1.710	R 66 0 3 0.237 0.234 0.289 0.963	4 -0.255 -0.259 -0.528 0.716
L 77 1 1 -0.256 -0.310 0.085 -17.103	2 0.685 0.559 -0.006 -1.789	R 67 0 3 0.252 0.241 0.403 2.721	4 -0.269 -0.268 -0.550 0.013
L 78 1 1 -0.253 -0.308 0.074 -17.042	2 0.685 0.559 -0.017 -2.193	R 68 0 3 0.267 0.259 0.494 -0.514	4 -0.285 -0.278 -0.392 -0.233
L 79 1 1 -0.251 -0.305 0.085 -16.927	2 0.687 0.560 0.040 -2.000	R 68 0 3 0.267 0.270 0.131 -0.787	4 -0.302 -0.293 -0.346 1.868
L 80 1 1 -0.249 -0.304 0.085 -16.804	2 0.688 0.560 -0.176 -1.727	R 69 0 3 0.283 0.276 0.585 1.253	4 -0.302 -0.304 -0.528 0.611
L 80 1 1 -0.249 -0.302 0.096 -17.376	2 0.689 0.560 -0.176 -1.807	R 70 0 3 0.298 0.293 0.585 0.699	4 -0.319 -0.315 -0.562 -0.031
L 81 1 1 -0.246 -0.300 0.040 -17.138	2 0.689 0.560 0.062 -1.921	R 71 0 3 0.313 0.301 -0.108 1.112	4 -0.338 -0.330 -0.437 -1.648
L 82 1 1 -0.244 -0.299 0.062 -16.848	2 0.690 0.559 -0.006 -1.727	R 71 0 3 0.313 0.312 0.585 -0.075	4 -0.358 -0.344 -0.358 1.771
L 83 1 1 -0.241 -0.297 0.062 -16.804	2 0.692 0.560 -0.006 -1.727	R 72 0 3 0.328 0.329 0.630 -0.101	4 -0.358 -0.362 -0.687 0.558
L 83 1 1 -0.241 -0.295 0.040 -17.042	2 0.693 0.560 -0.006 -1.604	R 73 0 3 0.343 0.333 0.153 2.765	4 -0.378 -0.372 -0.607 -0.901
L 84 1 1 -0.239 -0.293 0.096 -17.174	2 0.693 0.560 -0.176 -1.824	R 74 0 3 0.358 0.346 0.369 0.242	4 -0.399 -0.388 -0.766 -1.578
L 85 1 1 -0.237 -0.291 0.062 -16.857	2 0.694 0.560 -0.006 -1.675	R 74 0 3 0.358 0.365 0.448 -2.246	4 -0.420 -0.407 -0.221 1.226
L 86 1 1 -0.234 -0.290 0.085 -16.884	2 0.696 0.559 -0.006 -1.947	R 75 0 3 0.373 0.373 0.539 -0.602	4 -0.420 -0.421 -0.766 0.752
L 86 1 1 -0.234 -0.287 0.085 -17.771	2 0.697 0.559 0.028 -2.018	R 76 0 3 0.387 0.384 0.562 -0.224	4 -0.442 -0.435 -0.482 -2.009
L 87 1 1 -0.232 -0.285 0.017 -17.429	2 0.697 0.560 0.028 -1.895	R 77 0 3 0.401 0.395 0.040 -0.725	4 -0.464 -0.449 -0.778 -2.888
L 88 1 1 -0.230 -0.283 0.153 -17.710	2 0.699 0.560 -0.006 -1.754	R 77 0 3 0.401 0.407 0.176 -2.114	4 -0.486 -0.469 -0.289 -0.251
L 89 1 1 -0.227 -0.280 0.131 -17.921	2 0.701 0.560 -0.176 -1.859	R 78 0 3 0.415 0.419 0.516 -1.938	4 -0.486 -0.482 -0.675 -0.629
L 89 1 1 -0.227 -0.278 0.028 17.886	2 0.702 0.560 0.028 -1.569	R 79 0 3 0.428 0.427 0.562 -0.567	4 -0.508 -0.500 -0.755 -2.475
L 90 1 1 -0.225 -0.276 0.085 17.596	2 0.702 0.560 0.028 -1.815	R 80 0 3 0.440 0.435 0.131 -0.813	4 -0.530 -0.514 -0.664 -3.451
L 91 1 1 -0.223 -0.273 0.131 17.402	2 0.704 0.559 -0.006 -2.009	R 80 0 3 0.440 0.447 0.199 -2.316	4 -0.551 -0.534 -0.380 -0.136
L 92 1 1 -0.221 -0.271 0.040 17.279	2 0.706 0.560 -0.006 -1.798	R 81 0 3 0.452 0.458 0.369 -2.176	4 -0.551 -0.546 -0.573 -0.831
L 92 1 1 -0.221 -0.269 0.096 16.637	2 0.707 0.560 0.028 -1.710	R 82 0 3 0.463 0.463 0.380 -0.470	4 -0.571 -0.564 -0.755 -2.396
L 93 1 1 -0.219 -0.266 0.028 16.655	2 0.707 0.560 -0.176 -1.824	R 83 0 3 0.474 0.467 -0.040 0.251	4 -0.591 -0.570 -0.289 -6.000
L 94 1 1 -0.217 -0.265 0.062 16.796	2 0.709 0.560 0.017 -1.789	R 83 0 3 0.474 0.474 0.221 -0.057	4 -0.610 -0.579 -0.210 -4.145
L 95 1 1 -0.215 -0.263 0.040 16.796	2 0.711 0.560 0.062 -1.393	R 84 0 3 0.484 0.481 0.437 0.189	4 -0.610 -0.592 -0.074 -7.213
L 95 1 1 -0.215 -0.261 0.028 16.338	2 0.713 0.560 0.017 -1.393	R 85 0 3 0.492 0.490 0.131 0.391	4 -0.627 -0.597 -0.335 -10.246
L 96 1 1 -0.212 -0.260 0.017 16.655	2 0.713 0.561 0.108 -1.930	R 86 0 3 0.500 0.493 0.017 0.778	4 -0.643 -0.602 -0.471 -12.866
L 97 1 1 -0.210 -0.259 -0.006 17.191	2 0.715 0.564 0.153 -1.930	R 86 0 3 0.500 0.500 0.199 0.198	4 -0.658 -0.608 -0.165 -12.286
L 98 1 1 -0.208 -0.260 0.006 17.666	2 0.717 0.570 0.233 -1.930	R 87 0 3 0.507 0.505 0.210 0.646	4 -0.658 -0.617 -0.142 -14.765
L 98 1 1 -0.208 -0.261 -0.062 -17.684	2 0.719 0.577 0.278 -2.475	R 88 0 3 0.513 0.508 0.085 1.305	4 -0.671 -0.626 -0.289 -16.092
L 99 1 1 -0.206 -0.262 -0.051 -16.391	2 0.719 0.587 0.358 -1.367	R 89 0 3 0.517 0.512 0.131 0.620	4 -0.683 -0.635 -0.550 -15.591
L 100 1 1 -0.204 -0.265 -0.085 -14.782	2 0.721 0.597 0.289 -1.543	R 89 0 3 0.517 0.518 0.096 -0.215	4 -0.693 -0.646 -0.369 -12.716
L 101 1 1 -0.202 -0.267 -0.028 -13.534	2 0.723 0.608 0.460 -1.868	R 90 0 3 0.521 0.520 0.085 0.215	4 -0.693 -0.658 -0.312 -12.453
L 101 1 1 -0.202 -0.270 -0.096 -12.462	2 0.725 0.621 0.494 -1.429	R 91 0 3 0.523 0.522 0.006 0.374	4 -0.701 -0.669 -0.392 -11.178
L 102 1 1 -0.200 -0.272 -0.074 -10.844	2 0.725 0.632 0.323 -2.879	R 92 0 3 0.525 0.524 0.062 0.004	4 -0.708 -0.678 -0.403 -9.648
L 103 1 1 -0.199 -0.274 -0.040 -9.587	2 0.727 0.642 0.199 -5.982	R 92 0 3 0.525 0.524 -0.006 0.251	4 -0.713 -0.686 -0.210 -7.609
L 104 1 1 -0.197 -0.275 -0.176 -8.927	2 0.730 0.649 0.233 -7.653	R 93 0 3 0.525 0.524 0.028 0.356	4 -0.713 -0.692 -0.085 -7.767
L 104 1 1 -0.197 -0.275 -0.006 -8.602	2 0.732 0.653 0.096 -8.629	R 94 0 3 0.525 0.524 -0.017 0.286	4 -0.717 -0.694 -0.040 -8.453
L 105 1 1 -0.195 -0.274 0.051 -8.180	2 0.732 0.654 -0.176 -8.646	R 95 0 3 0.524 0.524 -0.006 0.171	4 -0.719 -0.692 0.006 -9.490
L 106 1 1 -0.193 -0.273 0.096 -8.154	2 0.734 0.654 -0.028 -7.934	R 95 0 3 0.524 0.522 -0.017 0.444	4 -0.721 -0.690 0.119 -10.624
L 107 1 1 -0.191 -0.270 0.131 -8.734	2 0.737 0.653 -0.017 -6.826	R 96 0 3 0.522 0.519 -0.108 0.681	4 -0.721 -0.686 0.108 -12.066
L 107 1 1 -0.191 -0.267 0.142 -9.596	2 0.739 0.652 -0.017 -6.018	R 97 0 3 0.519 0.517 -0.131 0.813	4 -0.721 -0.684 0.108 -12.927
L 108 1 1 -0.189 -0.265 0.040 -9.648	2 0.739 0.652 0.062 -5.490	R 98 0 3 0.516 0.514 -0.006 1.024	4 -0.720 -0.683 0.028 -13.086
L 109 1 1 -0.188 -0.263 0.051 -9.701	2 0.742 0.653 0.074 -4.866	R 98 0 3 0.516 0.511 -0.040 1.587	4 -0.719 -0.683 -0.040 -12.910
L 110 1 1 -0.186 -0.261 0.074 -10.062	2 0.744 0.655 0.074 -4.655	R 99 0 3 0.512 0.508 -0.108 1.648	4 -0.719 -0.684 -0.062 -12.057
L 110 1 1 -0.186 -0.259 0.074 -10.501	2 0.747 0.657 0.108 -5.297	R 0 1 3 0.509 0.506 -0.176 1.095	4 -0.717 -0.685 -0.028 -11.204
L 111 1 1 -0.184 -0.257 0.051 -10.440	2 0.747 0.660 0.108 -5.736	R 1 1 3 0.505 0.504 -0.028 1.130	4 -0.715 -0.686 0.006 -10.519
L 112 1 1 -0.183 -0.255 0.096 -10.501	2 0.749 0.662 0.017 -5.323	R 1 1 3 0.505 0.498 -0.131 2.149	4 -0.713 -0.690 -0.074 -9.051
L 113 1 1 -0.181 -0.252 0.176 -11.512	2 0.752 0.662 0.017 -4.356	R 2 1 3 0.501 0.495 -0.108 2.009	4 -0.713 -0.693 -0.096 -7.389
L 113 1 1 -0.181 -0.249 0.096 -12.488	2 0.755 0.662 0.040 -4.391	R 3 1 3 0.497 0.493 -0.233 1.288	4 -0.711 -0.693 -0.028 -6.360
L 114 1 1 -0.179 -0.246 0.062 -12.664	2 0.755 0.665 0.131 -4.611	R 4 1 3 0.493 0.490 -0.131 1.640	4 -0.709 -0.693 0.028 -5.842
L 115 1 1 -0.178 -0.245 -0.176 -12.400	2 0.758 0.671 0.131 -5.121	R 4 1 3 0.493 0.487 -0.006 1.921	4 -0.707 -0.693 -0.028 -5.727
L 116 1 1 -0.176 -0.244 0.074 -12.558	2 0.760 0.674 0.131 -5.991	R 5 1 3 0.489 0.484 -0.062 1.859	4 -0.707 -0.694 -0.040 -4.901
L 116 1 1 -0.176 -0.241 0.153 -13.332	2 0.763 0.676 0.051 -6.193	R 6 1 3 0.485 0.480 -0.153 1.640	4 -0.706 -0.694 -0.074 -3.978
L 117 1 1 -0.175 -0.239 0.074 -13.596	2 0.763 0.680 0.119 -6.703	R 7 1 3 0.481 0.478 -0.096 1.754	4 -0.704 -0.695 -0.017 -3.468
L 118 1 1 -0.173 -0.237 0.040 -13.490	2 0.766 0.684 0.006 -7.108	R 7 1 3 0.481 0.473 -0.051 2.545	4 -0.702 -0.694 0.006 -3.319
L 119 1 1 -0.172 -0.236 0.096 -13.780	2 0.769 0.687 0.119 -7.134	R 8 1 3 0.477 0.469 -0.187 2.993	4 -0.702 -0.695 -0.028 -2.607
L 119 1 1 -0.172 -0.233 0.096 -14.571	2 0.772 0.690 0.040 -7.705	R 9 1 3 0.473 0.467 -0.187 2.589	4 -0.701 -0.695 0.006 -1.921
L 0 0 1 -0.170 -0.231 0.051 -14.695	2 0.772 0.692 0.051 -7.890	R 10 1 3 0.469 0.464 -0.108 2.642	4 -0.699 -0.695 0.051 -1.508
L 1 0 1 -0.169 -0.229 0.051 -14.870	2 0.775 0.695 0.040 -7.767	R 10 1 3 0.469 0.459 -0.051 3.336	4 -0.697 -0.694 0.108 -1.938
L 2 0 1 -0.168 -0.225 0.210 -16.154	2 0.778 0.694 -0.051 -6.440	R 11 1 3 0.465 0.454 -0.210 4.136	4 -0.697 -0.693 0.051 -1.771
L 2 0 1 -0.168 -0.219 0.267 17.648	2 0.781 0.691 -0.096 -5.007	R 12 1 3 0.462 0.451 -0.187 4.040	4 -0.696 -0.691 0.096 -1.912
L 3 0 1 -0.166 -0.213 0.153 16.426	2 0.781 0.690 -0.096 -3.662	R 13 1 3 0.458 0.448 -0.040 4.145	4 -0.694 -0.688 0.187 -2.607
L 4 0 1 -0.165 -0.209 0.096 15.565	2 0.784 0.689 0.017 -2.738	R 13 1 3 0.458 0.442 -0.187 5.771	4 -0.693 -0.684 0.199 -3.978
L 5 0 1 -0.163 -0.205 0.165 14.475	2 0.786 0.689 -0.017 -2.149	R 14 1 3 0.454 0.435 -0.199 6.738	4 -0.693 -0.681 0.028 -4.286
L 5 0 1 -0.163 -0.201 0.108 13.552	2 0.786 0.689 0.017 -2.053	R 15 1 3 0.450 0.432 -0.244 6.897	4 -0.692 -0.680 0.017 -4.277
L 6 0 1 -0.160 -0.198 0.142 12.927	2 0.786 0.690 0.096 -2.633	R 16 1 3 0.447 0.429 -0.096 7.196	4 -0.690 -0.680 0.017 -3.881
L 7 0 1 -0.158 -0.195 0.085 12.927	2 0.786 0.692 0.040 -2.774	R 16 1 3 0.447 0.425 -0.131 7.556	4 -0.689 -0.681 -0.074 -3.451
L 8 0 1 -0.154 -0.192 0.096 13.051	2 0.784 0.696 0.108 -4.892	R 17 1 3 0.443 0.422 -0.142 7.670	4 -0.689 -0.682 -0.051 -2.853
L 8 0 1 -0.154 -0.190 0.085 12.558	2 0.781 0.699 0.165 -6.519	R 18 1 3 0.439 0.418 -0.176 7.767	4 -0.688 -0.682 -0.006 -2.114
L 9 0 1 -0.150 -0.187 0.096 12.734	2 0.781 0.701 0.119 -8.119	R 19 1 3 0.436 0.414 -0.119 8.198	4 -0.687 -0.682 0.028 -1.842
L 10 0 1 -0.146 -0.184 0.142 13.077	2 0.776 0.702 0.062 -10.202	R 19 1 3 0.436 0.410 -0.187 9.103	4 -0.685 -0.681 0.062 -2.018
L 11 0 1 -0.141 -0.179 0.142 13.007	2 0.770 0.702 -0.028 -12.233	R 20 1 3 0.432 0.405 -0.176 9.455	4 -0.685 -0.679 0.096 -2.378
L 11 0 1 -0.141 -0.175 0.153 11.952	2 0.761 0.702 -0.176 -13.288	R 21 1 3 0.428 0.401 -0.210 10.018	4 -0.684 -0.676 0.108 -3.108
L 12 0 1 -0.135 -0.170 0.131 12.338	2 0.761 0.699 -0.006 -14.352	R 22 1 3 0.425 0.395 -0.165 11.073	4 -0.683 -0.672 0.085 -3.881
L 13 0 1 -0.128 -0.165 0.176 12.690	2 0.751 0.695 -0.108 -16.593	R 22 1 3 0.425 0.390 -0.187 12.048	4 -0.682 -0.668 0.131 -5.297
L 14 0 1 -0.121 -0.160 0.244 12.945	2 0.739 0.690 -0.278 17.604	R 23 1 3 0.421 0.386 -0.176 12.119	4 -0.682 -0.664 0.142 -6.475
L 14 0 1 -0.121 -0.154 0.153 11.723	2 0.725 0.686 -0.176 16.734	R 24 1 3 0.418 0.381 -0.176 12.822	4 -0.681 -0.660 0.142 -7.635
L 15 0 1 -0.112 -0.148 0.176 12.418	2 0.725 0.680 -0.176 15.582	R 25 1 3 0.414 0.376 -0.187 14.026	4 -0.680 -0.655 0.108 -8.884
L 16 0 1 -0.104 -0.142 0.255 12.840	2 0.709 0.673 -0.153 12.558	R 25 1 3 0.414 0.371 -0.187 15.073	4 -0.679 -0.651 0.187 -10.598
L 17 0 1 -0.095 -0.136 0.187 13.270	2 0.692 0.665 -0.403 9.842	R 26 1 3 0.410 0.367 -0.142 15.310	4 -0.679 -0.646 0.119 -11.600
L 17 0 1 -0.095 -0.127 0.221 11.495	2 0.673 0.658 -0.187 9.279	R 27 1 3 0.407 0.363 -0.187 15.741	4 -0.678 -0.642 0.142 -12.892
L 18 0 1 -0.085 -0.120 0.335 11.943	2 0.673 0.649 -0.267 8.444	R 28 1 3 0.403 0.358 -0.131 16.611	4 -0.677 -0.637 0.165 -14.246
L 19 0 1 -0.075 -0.111 0.369 12.013	2 0.653 0.638 -0.176 5.473	R 28 1 3 0.403 0.354 -0.187 17.314	4 -0.677 -0.634 0.085 -15.415
L 20 0 1 -0.065 -0.099 0.505 10.299	2 0.632 0.636 -0.539 0.980	R 29 1 3 0.400 0.352 -0.062 17.051	4 -0.677 -0.629 0.187 -16.760
L 20 0 1 -0.065 -0.083 0.573 6.018	2 0.610 0.620 -0.448 2.026	R 30 1 3 0.397 0.348 -0.108 17.130	4 -0.676 -0.625 0.119 -17.807
L 21 0 1 -0.054 -0.067 0.585 4.031	2 0.610 0.602 -0.448 2.352	R 31 1 3 0.393 0.345 -0.074 17.763	4 -0.675 -0.621 0.051 16.989
L 22 0 1 -0.044 -0.054 0.267 3.635	2 0.588 0.590 -0.392 -0.699	R 31 1 3 0.393 0.343 -0.074 17.692	4 -0.674 -0.620 0.017 16.760
L 23 0 1 -0.034 -0.046 0.267 3.336	2 0.565 0.580 -0.562 -3.881	R 32 1 3 0.390 0.341 -0.062 16.927	4 -0.674 -0.620 0.006 16.813
L 23 0 1 -0.034 -0.039 0.267 1.631	2 0.541 0.568 -0.165 -4.347	R 33 1 3 0.386 0.341 -0.017 16.092	4 -0.674 -0.620 0.176 17.130
L 24 0 1 -0.024 -0.031 0.199 2.686	2 0.541 0.548 -0.789 -2.070	R 34 1 3 0.383 0.340 0.017 15.503	4 -0.673 -0.620 -0.017 17.341
L 25 0 1 -0.014 -0.023 0.267 3.389	2 0.517 0.527 -0.846 -2.853	R 34 1 3 0.383 0.340 -0.028 15.037	4 -0.673 -0.620 0.028 17.376
L 26 0 1 -0.004 -0.015 0.289 2.686	2 0.494 0.513 -0.596 -5.182	R 35 1 3 0.379 0.340 0.006 13.851	4 -0.673 -0.620 -0.017 17.534
L 26 0 1 -0.004 -0.006 0.323 0.611	2 0.470 0.496 -0.210 -4.312	R 36 1 3 0.376 0.340 -0.017 12.901	4 -0.672 -0.620 -0.040 17.912
L 27 0 1 0.005 0.001 0.199 1.015	2 0.470 0.478 -0.539 -2.879	R 37 1 3 0.373 0.340 0.040 12.092	4 -0.672 -0.620 0.176 18.000
L 28 0 1 0.013 0.009 0.244 1.288	2 0.447 0.457 -0.823 -3.459	R 37 1 3 0.373 0.340 -0.040 11.530	4 -0.671 -0.620 0.028 17.763
L 29 0 1 0.020 0.014 0.153 1.604	2 0.424 0.441 -0.698 -4.778	R 38 1 3 0.370 0.340 -0.017 10.211	4 -0.671 -0.618 0.085 17.235
L 29 0 1 0.020 0.017 0.131 1.138	2 0.402 0.426 -0.187 -3.758	R 39 1 3 0.366 0.340 -0.096 9.455	4 -0.671 -0.616 0.040 16.646
L 30 0 1 0.027 0.019 0.074 2.879	2 0.402 0.410 -0.550 -2.738	R 40 1 3 0.363 0.339 -0.006 8.813	4 -0.670 -0.614 0.028 16.224
L 31 0 1 0.033 0.023 0.142 3.327	2 0.381 0.391 -0.846 -2.923	R 40 1 3 0.363 0.339 -0.017 8.295	4 -0.670 -0.612 0.062 15.415
L 32 0 1 0.038 0.028 0.176 2.844	2 0.360 0.376 -0.596 -4.488	R 41 1 3 0.360 0.339 -0.017 7.275	4 -0.670 -0.609 0.051 14.686
L 32 0 1 0.038 0.033 0.142 1.763	2 0.341 0.363 -0.108 -4.022	R 42 1 3 0.356 0.338 -0.051 6.554	4 -0.670 -0.606 0.074 13.745
L 33 0 1 0.042 0.036 0.119 2.088	2 0.341 0.350 -0.448 -3.354	R 43 1 3 0.353 0.337 -0.006 6.220	4 -0.669 -0.603 0.062 12.927
L 34 0 1 0.046 0.040 0.051 1.974	2 0.322 0.333 -0.664 -3.679	R 43 1 3 0.353 0.336 -0.040 5.921	4 -0.669 -0.601 0.040 12.013
L 35 0 1 0.048 0.042 -0.006 1.780	2 0.305 0.321 -0.550 -4.567	R 44 1 3 0.350 0.335 -0.074 5.341	4 -0.669 -0.599 0.040 11.143
L 35 0 1 0.048 0.042 -0.028 1.903	2 0.288 0.308 -0.085 -3.793	R 45 1 3 0.347 0.335 -0.062 4.391	4 -0.669 -0.597 0.040 10.712
L 36 0 1 0.049 0.042 -0.028 2.299	2 0.288 0.297 -0.414 -2.897	R 46 1 3 0.344 0.335 -0.006 3.635	4 -0.669 -0.596 0.028 10.299
L 37 0 1 0.049 0.042 0.028 2.185	2 0.273 0.284 -0.516 -3.565	R 46 1 3 0.344 0.334 0.028 3.187	4 -0.669 -0.595 -0.040 10.088
L 38 0 1 0.047 0.043 -0.051 1.780	2 0.259 0.273 -0.460 -4.163	R 47 1 3 0.341 0.334 -0.028 2.281	4 -0.669 -0.595 0.006 9.947
L 38 0 1 0.047 0.043 0.017 1.701	2 0.246 0.265 -0.085 -3.829	R 48 1 3 0.337 0.334 -0.040 1.209	4 -0.669 -0.595 0.006 9.798
L 39 0 1 0.045 0.041 -0.006 1.191	2 0.246 0.255 -0.471 -2.870	R 49 1 3 0.334 0.334 0.017 0.673	4 -0.669 -0.595 0.176 9.859
L 40 0 1 0.042 0.041 -0.028 0.242	2 0.235 0.245 -0.346 -3.626	R 49 1 3 0.334 0.332 -0.074 0.910	4 -0.669 -0.595 -0.017 10.018
L 41 0 1 0.038 0.041 -0.062 -0.629	2 0.225 0.238 -0.358 -4.066	R 50 1 3 0.331 0.331 -0.062 0.048	4 -0.669 -0.595 0.176 10.026
L 41 0 1 0.038 0.039 0.040 -0.462	2 0.216 0.232 -0.074 -3.890	R 51 1 3 0.328 0.330 -0.096 -0.347	4 -0.669 -0.595 0.006 9.938
L 42 0 1 0.033 0.037 -0.153 -1.270	2 0.216 0.224 -0.312 -3.152	R 52 1 3 0.325 0.328 -0.040 -0.268	4 -0.669 -0.595 0.176 9.947
L 43 0 1 0.027 0.035 -0.051 -3.011	2 0.208 0.218 -0.210 -3.530	R 52 1 3 0.325 0.326 -0.028 -0.374	4 -0.669 -0.595 0.176 9.877
L 44 0 1 0.020 0.033 -0.153 -3.952	2 0.201 0.214 -0.165 -4.171	R 53 1 3 0.322 0.326 -0.017 -1.262	4 -0.669 -0.595 0.028 9.807
L 44 0 1 0.020 0.029 -0.187 -3.055	2 0.196 0.211 -0.119 -4.145	R 54 1 3 0.319 0.326 0.074 -1.604	4 -0.669 -0.594 -0.028 9.622
L 45 0 1 0.012 0.023 -0.176 -3.758	2 0.196 0.207 -0.176 -3.925	R 55 1 3 0.316 0.324 -0.131 -1.921	4 -0.669 -0.594 -0.017 9.578
L 46 0 1 0.004 0.016 -0.233 -4.303	2 0.191 0.201 -0.176 -3.723	R 55 1 3 0.316 0.320 -0.062 -1.490	4 -0.670 -0.594 0.176 9.534
L 47 0 1 -0.005 0.008 -0.335 -3.714	2 0.187 0.197 -0.153 -3.433	R 56 1 3 0.313 0.319 -0.017 -2.123	4 -0.670 -0.594 -0.017 9.385
L 47 0 1 -0.005 -0.001 -0.346 -1.446	2 0.184 0.196 -0.028 -3.503	R 57 1 3 0.310 0.319 -0.074 -2.791	4 -0.670 -0.594 0.028 9.103
L 48 0 1 -0.015 -0.010 -0.199 -2.026	2 0.184 0.194 -0.006 -3.530	R 58 1 3 0.307 0.318 0.017 -3.231	4 -0.670 -0.593 0.176 8.866
L 49 0 1 -0.025 -0.017 -0.267 -2.818	2 0.182 0.192 -0.096 -3.582	R 58 1 3 0.307 0.318 0.028 -3.890	4 -0.671 -0.593 0.017 8.637
L 50 0 1 -0.035 -0.022 -0.244 -3.451	2 0.180 0.190 -0.085 -3.442	R 59 1 3 0.305 0.318 -0.017 -4.725	4 -0.671 -0.592 0.006 8.277
L 50 0 1 -0.035 -0.028 -0.165 -2.571	2 0.179 0.189 -0.074 -3.275	R 60 1 3 0.302 0.318 -0.085 -5.552	4 -0.671 -0.591 0.040 7.714
L 51 0 1 -0.046 -0.035 -0.187 -4.189	2 0.179 0.189 -0.040 -3.582	R 61 1 3 0.299 0.318 -0.017 -6.079	4 -0.672 -0.590 0.176 7.310
L 52 0 1 -0.057 -0.042 -0.255 -4.971	2 0.178 0.188 0.006 -3.855	R 61 1 3 0.299 0.318 0.006 -6.791	4 -0.672 -0.590 0.006 7.073
