194 -0.006 -3.829	R 58 1 3 0.307 0.319 -0.028 -3.785	4 -0.670 -0.594 0.006 8.980
L 74 0 1 -0.358 -0.355 -0.528 -0.251	2 0.399 0.394 0.675 1.042	R 83 1 3 0.241 0.272 -0.040 -10.949	4 -0.693 -0.581 -0.028 1.982
L 75 0 1 -0.373 -0.369 -0.528 0.541	2 0.420 0.410 0.812 2.352	R 84 1 3 0.239 0.270 -0.051 -10.993	4 -0.693 -0.581 -0.028 1.877
L 75 0 1 -0.373 -0.382 -0.414 2.686	2 0.442 0.423 0.062 2.088	R 85 1 3 0.237 0.268 -0.119 -10.879	4 -0.694 -0.581 -0.028 1.877
L 76 0 1 -0.387 -0.392 -0.392 1.701	2 0.442 0.437 0.460 1.560	R 86 1 3 0.234 0.266 -0.040 -10.695	4 -0.696 -0.581 0.017 1.552
L 77 0 1 -0.401 -0.404 -0.505 1.297	2 0.464 0.453 0.585 3.556	R 86 1 3 0.234 0.264 -0.108 -10.369	4 -0.697 -0.581 0.176 1.780
L 78 0 1 -0.415 -0.416 -0.380 2.290	2 0.486 0.468 0.880 4.655	R 87 1 3 0.232 0.261 -0.062 -10.448	4 -0.697 -0.581 -0.040 1.886
L 78 0 1 -0.415 -0.428 -0.403 4.734	2 0.508 0.486 0.176 3.204	R 88 1 3 0.230 0.260 -0.153 -10.158	4 -0.699 -0.581 -0.028 1.780
L 79 0 1 -0.428 -0.436 -0.187 3.046	2 0.508 0.500 0.494 2.475	R 89 1 3 0.227 0.257 -0.108 -9.895	4 -0.701 -0.581 -0.028 1.780
L 80 0 1 -0.440 -0.444 -0.278 1.508	2 0.530 0.519 0.698 3.688	R 89 1 3 0.227 0.255 -0.096 -9.622	4 -0.702 -0.581 -0.028 1.754
L 81 0 1 -0.452 -0.453 -0.278 1.921	2 0.551 0.532 0.675 4.857	R 90 1 3 0.225 0.252 -0.085 -9.613	4 -0.702 -0.581 -0.028 1.895
L 81 0 1 -0.452 -0.462 -0.244 3.284	2 0.571 0.551 0.323 2.659	R 91 1 3 0.223 0.250 -0.142 -9.473	4 -0.704 -0.581 -0.017 1.903
L 82 0 1 -0.463 -0.469 -0.153 1.815	2 0.571 0.565 0.380 2.018	R 92 1 3 0.221 0.248 -0.131 -8.804	4 -0.706 -0.581 0.006 1.886
L 83 0 1 -0.474 -0.476 -0.244 0.637	2 0.591 0.582 0.721 2.905	R 92 1 3 0.221 0.246 -0.028 -8.690	4 -0.707 -0.582 -0.051 1.640
L 84 0 1 -0.484 -0.481 -0.142 -0.136	2 0.610 0.591 0.392 5.508	R 93 1 3 0.219 0.243 -0.096 -8.514	4 -0.707 -0.582 0.176 1.833
L 84 0 1 -0.484 -0.485 -0.051 0.514	2 0.627 0.599 -0.028 6.448	R 94 1 3 0.217 0.241 -0.096 -8.532	4 -0.709 -0.582 -0.062 1.815
L 85 0 1 -0.492 -0.488 -0.312 -1.086	2 0.627 0.604 0.062 8.338	R 95 1 3 0.215 0.240 -0.028 -8.725	4 -0.711 -0.585 -0.131 2.062
L 86 0 1 -0.500 -0.490 -0.165 -3.284	2 0.643 0.611 0.187 11.697	R 95 1 3 0.215 0.241 0.040 -9.156	4 -0.713 -0.590 -0.233 2.158
L 87 0 1 -0.507 -0.491 -0.062 -4.778	2 0.658 0.617 0.437 13.675	R 96 1 3 0.212 0.241 0.062 -10.378	4 -0.713 -0.598 -0.278 1.798
L 87 0 1 -0.507 -0.494 -0.074 -4.567	2 0.671 0.625 0.199 13.138	R 97 1 3 0.210 0.244 0.051 -11.899	4 -0.715 -0.609 -0.426 1.789
L 88 0 1 -0.513 -0.498 -0.165 -4.954	2 0.671 0.639 0.392 11.749	R 98 1 3 0.208 0.249 0.165 -13.745	4 -0.717 -0.621 -0.460 2.756
L 89 0 1 -0.517 -0.503 -0.142 -5.138	2 0.683 0.652 0.471 10.774	R 98 1 3 0.208 0.253 0.142 -15.618	4 -0.719 -0.635 -0.403 7.213
L 90 0 1 -0.521 -0.506 -0.131 -4.734	2 0.693 0.664 0.585 9.121	R 99 1 3 0.206 0.256 0.074 -17.622	4 -0.719 -0.648 -0.380 10.993
L 90 0 1 -0.521 -0.509 -0.153 -3.996	2 0.701 0.676 0.233 7.160	R 100 1 3 0.204 0.258 0.017 17.174	4 -0.721 -0.658 -0.358 13.930
L 91 0 1 -0.523 -0.513 -0.131 -3.881	2 0.701 0.686 0.199 5.675	R 101 1 3 0.202 0.260 0.028 16.233	4 -0.723 -0.665 -0.255 15.644
L 92 0 1 -0.525 -0.514 -0.028 -4.110	2 0.708 0.691 0.142 6.018	R 101 1 3 0.202 0.260 -0.017 15.732	4 -0.725 -0.668 -0.096 16.532
L 93 0 1 -0.525 -0.513 0.028 -4.374	2 0.713 0.692 0.028 7.442	R 102 1 3 0.200 0.260 -0.028 15.169	4 -0.725 -0.668 0.176 15.758
L 93 0 1 -0.525 -0.513 0.062 -4.716	2 0.717 0.690 -0.085 8.611	R 103 1 3 0.199 0.258 -0.074 15.020	4 -0.727 -0.667 0.119 14.229
L 94 0 1 -0.525 -0.511 0.062 -5.200	2 0.717 0.688 -0.131 10.246	R 104 1 3 0.197 0.256 -0.096 15.468	4 -0.730 -0.664 0.074 12.989
L 95 0 1 -0.524 -0.508 0.085 -5.736	2 0.719 0.685 -0.085 11.899	R 104 1 3 0.197 0.254 -0.085 15.846	4 -0.732 -0.662 0.006 12.453
L 96 0 1 -0.522 -0.506 0.028 -5.727	2 0.721 0.684 -0.017 12.796	R 105 1 3 0.195 0.253 -0.040 15.503	4 -0.732 -0.663 -0.028 11.626
L 96 0 1 -0.522 -0.505 0.074 -6.167	2 0.721 0.683 -0.006 12.963	R 106 1 3 0.193 0.252 -0.074 15.547	4 -0.734 -0.664 -0.062 11.327
L 97 0 1 -0.519 -0.503 0.085 -5.859	2 0.721 0.684 0.006 12.963	R 107 1 3 0.191 0.251 -0.028 15.468	4 -0.737 -0.667 -0.153 11.626
L 98 0 1 -0.516 -0.501 0.040 -5.341	2 0.720 0.685 0.017 12.426	R 107 1 3 0.191 0.250 -0.040 15.275	4 -0.739 -0.669 -0.085 12.224
L 99 0 1 -0.512 -0.500 0.040 -4.910	2 0.719 0.685 -0.006 11.793	R 108 1 3 0.189 0.249 -0.062 14.897	4 -0.739 -0.671 -0.085 12.066
L 99 0 1 -0.512 -0.498 0.017 -5.059	2 0.717 0.686 0.062 11.248	R 109 1 3 0.188 0.249 -0.040 14.747	4 -0.742 -0.673 -0.108 11.952
L 0 1 1 -0.509 -0.496 0.051 -4.338	2 0.717 0.686 -0.028 10.923	R 110 1 3 0.186 0.248 -0.074 14.774	4 -0.744 -0.675 -0.096 11.705
L 1 1 1 -0.505 -0.494 0.119 -3.820	2 0.715 0.686 0.199 9.464	R 110 1 3 0.186 0.245 -0.006 15.354	4 -0.747 -0.675 0.062 11.354
L 2 1 1 -0.501 -0.492 0.062 -3.521	2 0.713 0.691 0.062 7.855	R 111 1 3 0.184 0.241 -0.085 15.925	4 -0.747 -0.675 -0.017 10.607
L 2 1 1 -0.501 -0.491 -0.017 -3.442	2 0.711 0.693 0.108 6.844	R 112 1 3 0.183 0.240 -0.074 15.811	4 -0.749 -0.676 -0.085 10.167
