1 0 1 -0.554 -0.588 -0.006 6.510	2 0.742 0.696 0.017 8.576	3 0.554 0.562 -0.017 -1.587	4 -0.742 -0.677 0.017 -12.268
2 0 1 -0.554 -0.588 -0.028 6.545	2 0.742 0.696 0.006 8.602	3 0.554 0.562 -0.017 -1.613	4 -0.742 -0.677 -0.006 -12.268
3 0 1 -0.554 -0.588 -0.017 6.510	2 0.742 0.696 -0.040 8.576	3 0.554 0.562 0.040 -1.640	4 -0.742 -0.677 -0.006 -12.242
3 0 1 -0.554 -0.588 0.006 6.501	2 0.742 0.696 -0.006 8.593	3 0.554 0.562 -0.006 -1.684	4 -0.742 -0.678 -0.017 -12.251
4 0 1 -0.554 -0.588 0.006 6.607	2 0.742 0.696 0.006 8.585	3 0.554 0.562 -0.006 -1.701	4 -0.742 -0.678 -0.006 -12.224
5 0 1 -0.554 -0.588 0.006 6.580	2 0.742 0.696 0.017 8.585	3 0.554 0.562 0.006 -1.727	4 -0.741 -0.678 -0.040 -12.207
6 0 1 -0.554 -0.588 -0.017 6.580	2 0.741 0.696 -0.006 8.514	3 0.554 0.562 0.006 -1.710	4 -0.741 -0.678 0.017 -12.154
6 0 1 -0.554 -0.588 0.006 6.607	2 0.741 0.696 -0.006 8.514	3 0.553 0.562 -0.017 -1.780	4 -0.741 -0.678 -0.017 -12.145
7 0 1 -0.553 -0.588 -0.006 6.677	2 0.741 0.696 -0.017 8.514	3 0.553 0.562 0.006 -1.815	4 -0.741 -0.678 0.006 -12.101
8 0 1 -0.553 -0.588 -0.017 6.712	2 0.741 0.696 0.006 8.435	3 0.553 0.562 -0.017 -1.859	4 -0.741 -0.678 -0.028 -12.075
9 0 1 -0.552 -0.588 -0.006 6.835	2 0.741 0.696 -0.017 8.382	3 0.552 0.562 -0.017 -1.974	4 -0.741 -0.678 -0.006 -12.013
9 0 1 -0.552 -0.588 0.028 6.870	2 0.740 0.696 -0.028 8.356	3 0.552 0.562 -0.017 -2.097	4 -0.740 -0.678 0.028 -11.952
10 0 1 -0.552 -0.588 -0.006 7.011	2 0.740 0.696 -0.017 8.295	3 0.551 0.562 0.006 -2.167	4 -0.740 -0.678 0.017 -11.899
11 0 1 -0.551 -0.588 0.006 7.143	2 0.740 0.696 -0.006 8.242	3 0.551 0.562 -0.028 -2.246	4 -0.739 -0.678 -0.017 -11.881
12 0 1 -0.550 -0.588 -0.006 7.266	2 0.739 0.696 -0.006 8.136	3 0.550 0.562 0.017 -2.440	4 -0.739 -0.677 -0.017 -11.732
12 0 1 -0.550 -0.588 0.006 7.345	2 0.738 0.696 0.006 8.075	3 0.548 0.562 -0.017 -2.659	4 -0.738 -0.678 -0.017 -11.600
13 0 1 -0.548 -0.588 -0.006 7.538	2 0.738 0.696 -0.017 7.978	3 0.547 0.562 -0.006 -2.782	4 -0.738 -0.677 -0.017 -11.495
14 0 1 -0.547 -0.588 0.028 7.785	2 0.738 0.696 -0.028 7.873	3 0.547 0.562 0.006 -2.897	4 -0.737 -0.677 -0.006 -11.503
15 0 1 -0.545 -0.588 0.006 8.013	2 0.737 0.696 -0.040 7.723	3 0.545 0.562 -0.017 -3.160	4 -0.737 -0.677 0.006 -11.310
15 0 1 -0.545 -0.588 -0.006 8.066	2 0.735 0.696 -0.006 7.618	3 0.543 0.562 -0.028 -3.459	4 -0.735 -0.677 0.017 -11.204
16 0 1 -0.543 -0.588 0.017 8.347	2 0.735 0.695 -0.028 7.565	3 0.541 0.561 -0.006 -2.387	4 -0.734 -0.677 0.006 -10.958
17 0 1 -0.541 -0.587 0.006 8.752	2 0.734 0.695 -0.017 7.424	3 0.541 0.561 -0.051 -3.837	4 -0.733 -0.676 0.040 -11.029
18 0 1 -0.539 -0.587 0.040 9.086	2 0.733 0.694 -0.040 7.301	3 0.539 0.560 -0.028 -4.224	4 -0.733 -0.675 0.028 -10.932
18 0 1 -0.539 -0.587 0.006 9.138	2 0.731 0.694 -0.051 7.257	3 0.536 0.560 -0.040 -4.549	4 -0.731 -0.675 0.028 -10.800
19 0 1 -0.536 -0.586 0.040 9.437	2 0.731 0.693 -0.017 7.196	3 0.533 0.559 -0.006 -4.681	4 -0.730 -0.674 0.040 -10.607
20 0 1 -0.533 -0.585 0.017 9.877	2 0.730 0.693 -0.028 7.046	3 0.533 0.558 -0.006 -4.919	4 -0.728 -0.673 0.040 -10.747
21 0 1 -0.530 -0.584 0.006 10.167	2 0.728 0.692 -0.017 6.932	3 0.530 0.558 -0.028 -5.253	4 -0.728 -0.672 0.006 -10.686
21 0 1 -0.530 -0.583 -0.017 10.211	2 0.726 0.691 -0.028 6.888	3 0.526 0.556 -0.074 -5.710	4 -0.726 -0.670 0.062 -10.765
22 0 1 -0.526 -0.582 0.017 10.686	2 0.726 0.690 -0.062 6.976	3 0.522 0.555 -0.006 -5.921	4 -0.724 -0.669 0.062 -10.536
23 0 1 -0.522 -0.582 0.040 11.248	2 0.724 0.688 -0.040 6.642	3 0.522 0.554 -0.062 -6.035	4 -0.722 -0.667 0.096 -10.905
24 0 1 -0.518 -0.581 0.028 11.644	2 0.722 0.688 -0.028 6.510	3 0.518 0.553 -0.040 -6.484	4 -0.722 -0.665 0.096 -10.870
24 0 1 -0.518 -0.579 0.062 11.556	2 0.719 0.686 -0.062 6.633	3 0.514 0.550 -0.096 -6.897	4 -0.719 -0.662 0.108 -11.029
25 0 1 -0.514 -0.578 0.040 12.145	2 0.719 0.684 -0.062 6.703	3 0.509 0.549 -0.028 -7.081	4 -0.717 -0.661 0.051 -10.941
26 0 1 -0.509 -0.576 0.062 12.734	2 0.717 0.682 -0.085 6.466	3 0.509 0.547 -0.040 -7.213	4 -0.715 -0.658 0.040 -11.055
27 0 1 -0.504 -0.575 0.017 13.288	2 0.715 0.681 -0.051 6.457	3 0.504 0.545 -0.119 -7.758	4 -0.715 -0.656 0.108 -11.231
27 0 1 -0.504 -0.573 0.074 13.121	2 0.712 0.679 -0.062 6.536	3 0.499 0.543 -0.108 -8.382	4 -0.712 -0.654 0.062 -11.134
28 0 1 -0.499 -0.571 0.108 13.666	2 0.712 0.677 -0.096 6.589	3 0.493 0.542 -0.051 -8.435	4 -0.710 -0.653 0.062 -10.905
