1 0 1 -0.554 -0.538 -0.006 -3.125	2 0.742 0.774 -0.006 -6.220	3 0.554 0.522 0.006 6.132	4 -0.742 -0.759 -0.006 3.196
2 0 1 -0.554 -0.538 -0.028 -3.099	2 0.742 0.774 0.017 -6.220	3 0.554 0.522 0.006 6.097	4 -0.742 -0.759 -0.006 3.196
3 0 1 -0.554 -0.538 -0.006 -3.073	2 0.742 0.774 -0.017 -6.220	3 0.554 0.522 0.017 6.035	4 -0.742 -0.759 0.006 3.231
3 0 1 -0.554 -0.538 -0.017 -3.037	2 0.742 0.775 -0.017 -6.255	3 0.554 0.522 0.006 5.974	4 -0.742 -0.759 -0.040 3.222
4 0 1 -0.554 -0.538 -0.006 -2.958	2 0.742 0.775 0.017 -6.237	3 0.554 0.522 -0.006 5.965	4 -0.742 -0.759 -0.017 3.204
5 0 1 -0.554 -0.538 0.006 -2.993	2 0.742 0.775 0.017 -6.237	3 0.554 0.522 -0.006 5.965	4 -0.741 -0.759 0.028 3.196
6 0 1 -0.554 -0.538 -0.017 -2.967	2 0.741 0.774 0.006 -6.299	3 0.554 0.522 -0.006 5.991	4 -0.741 -0.759 -0.028 3.275
6 0 1 -0.554 -0.538 0.028 -3.011	2 0.741 0.774 -0.051 -6.308	3 0.553 0.522 0.006 5.921	4 -0.741 -0.759 -0.017 3.301
7 0 1 -0.553 -0.538 -0.006 -2.905	2 0.741 0.775 0.006 -6.308	3 0.553 0.522 -0.028 5.877	4 -0.741 -0.759 -0.017 3.327
8 0 1 -0.553 -0.538 -0.028 -2.835	2 0.741 0.774 -0.006 -6.369	3 0.553 0.522 -0.006 5.807	4 -0.741 -0.759 -0.017 3.354
9 0 1 -0.552 -0.538 0.017 -2.721	2 0.741 0.774 -0.028 -6.457	3 0.552 0.522 -0.006 5.701	4 -0.741 -0.759 -0.017 3.415
9 0 1 -0.552 -0.538 0.006 -2.703	2 0.740 0.774 -0.006 -6.466	3 0.552 0.522 -0.040 5.587	4 -0.740 -0.759 -0.006 3.486
10 0 1 -0.552 -0.538 0.017 -2.580	2 0.740 0.774 0.006 -6.492	3 0.551 0.522 -0.006 5.516	4 -0.740 -0.759 -0.017 3.556
11 0 1 -0.551 -0.538 0.006 -2.431	2 0.740 0.774 -0.006 -6.580	3 0.551 0.522 -0.006 5.420	4 -0.739 -0.759 -0.017 3.556
12 0 1 -0.550 -0.538 -0.040 -2.264	2 0.739 0.774 -0.017 -6.695	3 0.550 0.522 -0.006 5.235	4 -0.739 -0.759 0.017 3.688
12 0 1 -0.550 -0.538 -0.017 -2.246	2 0.738 0.774 -0.006 -6.756	3 0.548 0.522 -0.006 5.086	4 -0.738 -0.759 0.017 3.802
13 0 1 -0.548 -0.538 -0.028 -2.053	2 0.738 0.774 -0.040 -6.853	3 0.547 0.522 0.006 4.919	4 -0.738 -0.758 0.028 3.916
14 0 1 -0.547 -0.538 -0.006 -1.789	2 0.738 0.774 -0.028 -6.949	3 0.547 0.521 -0.017 4.778	4 -0.737 -0.758 0.006 3.916
