1 0 1 -0.554 -0.542 -0.017 -2.396	2 0.742 0.759 -0.017 -3.319	3 0.554 0.529 0.017 4.875	4 -0.742 -0.769 -0.028 5.156
2 0 1 -0.554 -0.542 -0.017 -2.360	2 0.742 0.759 -0.006 -3.292	3 0.554 0.529 -0.017 4.857	4 -0.742 -0.769 -0.006 5.200
2 0 1 -0.554 -0.542 -0.017 -2.369	2 0.742 0.759 -0.040 -3.310	3 0.554 0.529 0.006 4.866	4 -0.742 -0.769 -0.040 5.191
3 0 1 -0.554 -0.542 -0.006 -2.343	2 0.742 0.759 -0.006 -3.327	3 0.554 0.529 0.006 4.822	4 -0.742 -0.769 -0.017 5.200
4 0 1 -0.554 -0.542 -0.028 -2.264	2 0.742 0.759 -0.017 -3.310	3 0.554 0.529 0.006 4.787	4 -0.742 -0.769 0.006 5.165
5 0 1 -0.554 -0.542 0.017 -2.281	2 0.742 0.759 0.028 -3.319	3 0.554 0.529 -0.006 4.787	4 -0.742 -0.769 -0.028 5.165
5 0 1 -0.554 -0.542 -0.028 -2.255	2 0.741 0.759 0.006 -3.354	3 0.554 0.529 -0.006 4.796	4 -0.741 -0.769 -0.006 5.253
6 0 1 -0.554 -0.542 0.006 -2.281	2 0.741 0.759 0.006 -3.389	3 0.553 0.529 -0.040 4.734	4 -0.741 -0.769 -0.028 5.253
7 0 1 -0.553 -0.542 -0.017 -2.220	2 0.741 0.759 0.006 -3.389	3 0.553 0.529 -0.006 4.699	4 -0.741 -0.769 0.028 5.244
8 0 1 -0.553 -0.542 -0.017 -2.149	2 0.741 0.759 -0.017 -3.468	3 0.553 0.529 0.006 4.637	4 -0.741 -0.769 -0.006 5.323
8 0 1 -0.553 -0.542 -0.017 -2.167	2 0.741 0.759 -0.017 -3.468	3 0.552 0.529 0.006 4.488	4 -0.741 -0.769 -0.017 5.402
9 0 1 -0.552 -0.542 -0.028 -2.000	2 0.741 0.759 0.017 -3.512	3 0.552 0.528 -0.017 4.444	4 -0.740 -0.769 0.017 5.446
10 0 1 -0.552 -0.542 0.006 -1.868	2 0.740 0.759 -0.006 -3.582	3 0.552 0.528 -0.028 4.374	4 -0.740 -0.769 -0.006 5.464
11 0 1 -0.551 -0.542 0.006 -1.763	2 0.740 0.759 0.017 -3.626	3 0.551 0.528 -0.017 4.233	4 -0.740 -0.769 -0.028 5.525
11 0 1 -0.551 -0.542 -0.017 -1.719	2 0.739 0.759 -0.006 -3.697	3 0.550 0.528 -0.017 4.040	4 -0.739 -0.769 -0.028 5.666
12 0 1 -0.550 -0.542 0.017 -1.552	2 0.739 0.759 -0.006 -3.758	3 0.548 0.528 -0.006 3.925	4 -0.738 -0.769 0.006 5.771
13 0 1 -0.548 -0.541 0.017 -1.367	2 0.738 0.759 0.017 -3.864	3 0.548 0.528 0.028 3.793	4 -0.738 -0.769 -0.017 5.789
14 0 1 -0.547 -0.541 0.006 -1.165	2 0.738 0.758 -0.028 -3.969	3 0.547 0.528 -0.017 3.574	4 -0.738 -0.769 -0.017 5.921
14 0 1 -0.547 -0.541 0.006 -1.147	2 0.737 0.758 0.028 -4.040	3 0.545 0.528 -0.040 3.345	4 -0.737 -0.768 -0.017 6.088
15 0 1 -0.545 -0.541 0.028 -0.910	2 0.737 0.758 0.028 -4.136	3 0.543 0.528 0.028 3.152	4 -0.735 -0.768 0.017 6.237
16 0 1 -0.543 -0.540 0.017 -0.629	2 0.735 0.758 -0.028 -4.312	3 0.543 0.527 -0.006 3.055	4 -0.734 -0.768 0.028 6.229
17 0 1 -0.541 -0.540 -0.028 -0.356	2 0.734 0.757 -0.028 -4.470	3 0.541 0.527 -0.028 2.738	4 -0.734 -0.768 0.028 6.334
17 0 1 -0.541 -0.540 0.006 -0.242	2 0.733 0.757 -0.006 -4.549	3 0.539 0.526 -0.051 2.413	4 -0.733 -0.767 0.051 6.431
18 0 1 -0.539 -0.540 -0.006 0.154	2 0.733 0.757 -0.040 -4.620	3 0.536 0.525 -0.028 2.176	4 -0.731 -0.767 0.017 6.598
19 0 1 -0.536 -0.538 0.074 0.347	2 0.731 0.757 -0.051 -4.831	3 0.536 0.525 0.040 2.009	4 -0.730 -0.766 0.006 6.589
20 0 1 -0.533 -0.537 0.028 0.532	2 0.730 0.756 -0.028 -5.077	3 0.533 0.524 -0.040 1.596	4 -0.730 -0.765 0.028 6.835
20 0 1 -0.533 -0.536 -0.017 0.593	2 0.728 0.756 0.017 -5.112	3 0.530 0.524 -0.051 1.191	4 -0.728 -0.765 0.017 6.923
21 0 1 -0.530 -0.535 0.006 1.042	2 0.728 0.755 -0.017 -5.174	3 0.526 0.523 0.028 0.945	4 -0.726 -0.764 0.028 7.116
22 0 1 -0.526 -0.535 0.006 1.640	2 0.726 0.754 -0.040 -5.411	3 0.526 0.522 0.017 0.673	4 -0.724 -0.764 0.017 7.064
23 0 1 -0.522 -0.534 0.040 2.176	2 0.724 0.754 -0.062 -5.692	3 0.522 0.521 -0.085 0.180	4 -0.724 -0.762 0.074 7.204
23 0 1 -0.522 -0.533 0.006 2.123	2 0.722 0.753 -0.017 -5.798	3 0.518 0.520 -0.062 -0.154	4 -0.722 -0.760 0.062 7.389
24 0 1 -0.518 -0.532 0.028 2.633	2 0.722 0.752 -0.028 -5.912	3 0.514 0.518 -0.062 -0.242	4 -0.719 -0.758 0.119 7.134
25 0 1 -0.514 -0.532 -0.006 3.354	2 0.719 0.752 -0.017 -6.079	3 0.514 0.514 -0.165 -0.198	4 -0.717 -0.756 0.096 6.835
