1 -0.262 -0.187 0.620	2 -0.088 0.335 0.013
1 -0.267 -0.221 0.901	2 -0.079 0.323 0.136
1 -0.273 -0.210 0.629	2 -0.069 0.335 -0.251
1 -0.278 -0.187 0.743	2 -0.061 0.176 0.084
1 -0.283 -0.199 0.374	2 -0.055 0.176 0.242
1 -0.288 -0.199 0.532	2 -0.046 0.346 0.488
1 -0.294 -0.244 0.295	2 -0.034 0.414 -0.189
1 -0.300 -0.255 0.567	2 -0.024 0.289 -0.295
1 -0.307 -0.301 0.356	2 -0.017 0.199 -0.154
1 -0.313 -0.278 0.646	2 -0.009 0.267 0.145
1 -0.317 -0.108 3.363	2 -0.003 0.096 -0.233
1 -0.316 0.119 3.996	2 -0.002 -0.040 0.602
1 -0.308 0.380 4.400	2 -0.001 0.085 0.963
1 -0.295 0.460 3.257	2 0.006 0.255 0.910
1 -0.280 0.573 2.255	2 0.013 0.255 0.163
1 -0.265 0.460 0.752	2 0.020 0.199 0.004
1 -0.252 0.426 0.110	2 0.030 0.289 -0.840
1 -0.242 0.335 -0.884	2 0.035 0.074 -0.567
1 -0.234 0.187 -0.453	2 0.035 0.017 0.075
1 -0.231 0.085 -0.004	2 0.037 0.119 0.690
1 -0.229 -0.006 1.481	2 0.044 0.233 0.347
1 -0.228 0.051 2.387	2 0.052 0.255 0.004
1 -0.225 0.165 3.327	2 0.059 0.176 -0.330
1 -0.217 0.312 2.853	2 0.060 -0.017 0.637
1 -0.205 0.414 2.554	2 0.063 0.165 0.892
1 -0.193 0.426 1.420	2 0.072 0.335 0.576
1 -0.181 0.358 1.130	2 0.080 0.187 -0.040
1 -0.173 0.267 0.374	2 0.088 0.369 -0.347
1 -0.165 0.267 0.541	2 0.095 0.199 -0.743
1 -0.159 0.142 0.576	2 0.097 -0.006 0.136
1 -0.155 0.131 1.473	2 0.098 0.051 0.866
1 -0.151 0.119 1.815	2 0.104 0.312 1.068
1 -0.148 0.187 2.914	2 0.115 0.335 0.092
1 -0.142 0.199 2.923	2 0.122 0.153 0.207
1 -0.135 0.289 2.879	2 0.126 0.153 0.268
1 -0.126 0.335 2.308	2 0.131 0.187 0.611
1 -0.115 0.335 2.062	2 0.138 0.255 0.426
1 -0.105 0.289 1.191	2 0.146 0.255 0.286
1 -0.096 0.278 1.015	2 0.155 0.323 -0.330
1 -0.089 0.221 0.646	2 0.162 0.176 -0.180
1 -0.083 0.176 1.174	2 0.165 0.085 0.180
1 -0.078 0.062 1.305	2 0.169 0.221 0.734
1 -0.075 0.142 2.149	2 0.176 0.255 0.426
1 -0.072 0.153 2.484	2 0.179 -0.096 -1.569
1 -0.065 0.244 3.134	2 0.174 -0.289 -0.927
1 -0.056 0.335 2.290	2 0.163 -0.437 -1.068
1 -0.046 0.380 2.211	2 0.149 -0.482 -0.259
1 -0.036 0.267 1.657	2 0.141 -0.176 0.031
1 -0.028 0.244 1.745	2 0.138 -0.051 -0.462
1 -0.022 0.233 1.481	2 0.135 -0.187 -1.437
1 -0.015 0.267 1.921	2 0.127 -0.346 -1.024
1 -0.008 0.165 1.657	2 0.116 -0.358 -0.725
1 -0.002 0.210 2.211	2 0.108 -0.210 -0.277
1 0.002 0.153 2.237	2 0.102 -0.187 -0.549
1 0.007 0.199 2.818	2 0.097 -0.255 -0.611
1 0.015 0.267 2.527	2 0.089 -0.255 -0.857
1 0.023 0.289 2.580	2 0.082 -0.221 -0.602
1 0.031 0.301 2.149	2 0.076 -0.187 -0.769
1 0.039 0.244 2.132	2 0.070 -0.210 -0.708
1 0.047 0.244 1.666	2 0.063 -0.244 -0.892
1 0.054 0.301 1.789	2 0.055 -0.278 -0.629
1 0.060 0.187 1.578	2 0.049 -0.165 -0.875
1 0.065 0.210 2.211	2 0.045 -0.176 -1.086
1 0.070 0.142 2.264	2 0.038 -0.301 -1.059
1 0.075 0.255 2.589	2 0.028 -0.369 -0.479
1 0.082 0.187 2.492	2 0.019 -0.255 -0.365
1 0.088 0.210 2.818	2 0.014 -0.165 -0.268
1 0.095 0.176 2.527	2 0.013 0.006 -1.314
1 0.102 0.233 2.721	2 0.011 -0.199 -1.648
1 0.109 0.255 2.044	2 0.001 -0.437 -1.262
1 0.118 0.312 2.105	2 -0.012 -0.460 -0.382
1 0.125 0.199 1.613	2 -0.021 -0.165 -0.092
1 0.130 0.108 2.211	2 -0.023 -0.017 -0.488
1 0.133 0.165 2.299	2 -0.023 -0.074 -1.490
1 0.138 0.165 2.905	2 -0.030 -0.323 -1.165
1 0.144 0.210 2.624	2 -0.041 -0.426 -0.673
1 0.150 0.153 1.446	2 -0.051 -0.289 -0.382
1 0.153 0.028 -0.207	2 -0.056 -0.119 -0.971
1 0.149 -0.040 -0.866	2 -0.059 -0.244 -1.525
1 0.142 -0.312 -1.516	2 -0.067 -0.335 -1.859
1 0.130 -0.505 -1.138	2 -0.079 -0.403 -1.218
1 0.114 -0.550 -0.145	2 -0.089 -0.358 -1.015
1 0.095 -0.755 1.991	2 -0.098 -0.346 -0.602
1 0.076 -0.585 4.110	2 -0.107 -0.335 -0.611
1 0.061 -0.437 4.708	2 -0.117 -0.335 -0.400
1 0.054 -0.153 5.007	2 -0.124 -0.244 -0.400
1 0.052 -0.074 3.231	2 -0.131 -0.244 -0.365
1 0.052 0.062 1.807	2 -0.139 -0.165 -0.980
1 0.052 -0.062 -0.136	2 -0.144 -0.187 -1.103
1 0.048 -0.210 -0.681	2 -0.148 -0.165 -2.035
1 0.041 -0.437 -1.007	2 -0.155 -0.312 -1.613
1 0.027 -0.426 -0.470	2 -0.166 -0.426 -1.305
1 0.014 -0.494 -0.119	2 -0.177 -0.392 -0.725
1 -0.004 -0.585 2.105	2 -0.185 -0.199 -0.716
1 -0.021 -0.550 3.099	2 -0.191 -0.221 -0.681
1 -0.034 -0.358 3.635	2 -0.198 -0.278 -0.945
1 -0.041 -0.244 3.442	2 -0.207 -0.358 -0.523
1 -0.044 -0.040 2.519	2 -0.215 -0.233 -0.690
1 -0.046 -0.131 0.752	2 -0.220 -0.074 -0.980
1 -0.049 -0.119 0.048	2 -0.222 -0.062 -1.859
1 -0.054 -0.165 -0.303	2 -0.228 -0.289 -1.534
1 -0.064 -0.460 -0.532	2 -0.238 -0.380 -1.578
1 -0.076 -0.460 -0.655	2 -0.248 -0.289 -0.884
1 -0.091 -0.550 0.426	2 -0.255 -0.187 -0.875
1 -0.109 -0.607 1.921	2 -0.260 -0.165 -0.954
1 -0.124 -0.403 3.169	2 -0.265 -0.210 -1.297
1 -0.135 -0.312 2.941	2 -0.274 -0.323 -0.681
1 -0.142 -0.165 3.055	2 -0.283 -0.267 -0.620
1 -0.146 -0.199 0.541	2 -0.288 -0.199 -1.138
1 -0.150 -0.210 0.497	2 -0.291 0.017 -0.259
1 -0.155 -0.233 0.646	2 -0.286 0.380 0.945
1 -0.162 -0.244 1.358	2 -0.270 0.573 0.374
1 -0.168 -0.233 1.675	2 -0.258 0.301 -0.743
1 -0.173 -0.108 1.912	2 -0.249 0.176 -0.541
1 -0.175 -0.085 1.297	2 -0.245 0.131 -0.136
1 -0.177 -0.017 1.077	2 -0.239 0.199 0.497
1 -0.180 -0.074 0.541	2 -0.229 0.380 0.136
1 -0.183 -0.108 0.462	2 -0.220 0.380 -0.022
1 -0.186 -0.108 0.127	2 -0.209 0.369 -0.497
1 -0.191 -0.187 0.312	2 -0.201 0.267 -0.154
1 -0.196 -0.187 0.198	2 -0.195 0.255 -0.154
1 -0.201 -0.221 0.567	2 -0.189 0.221 0.435
1 -0.208 -0.267 0.769	2 -0.179 0.392 0.022
1 -0.214 -0.221 1.358	2 -0.168 0.358 -0.075
1 -0.220 -0.153 1.138	2 -0.159 0.267 -0.470
1 -0.223 -0.119 1.182	2 -0.154 0.165 0.356
1 -0.226 -0.165 0.664	2 -0.147 0.323 0.347
1 -0.231 -0.119 0.593	2 -0.136 0.358 0.233
1 -0.235 -0.233 0.382	2 -0.125 0.301 -0.541
1 -0.241 -0.210 0.549	2 -0.118 0.187 -0.154
1 -0.246 -0.187 0.444	2 -0.111 0.199 -0.013
1 -0.252 -0.233 0.892	2 -0.103 0.289 0.356
1 -0.258 -0.187 0.690	2 -0.094 0.323 0.004
1 -0.264 -0.153 0.910	2 -0.086 0.278 0.259
1 -0.270 -0.165 0.655	2 -0.075 0.346 -0.127
1 -0.275 -0.187 0.875	2 -0.066 0.267 0.031
1 -0.279 -0.176 0.444	2 -0.059 0.278 -0.119
1 -0.284 -0.131 0.479	2 -0.052 0.289 0.479
1 -0.289 -0.187 0.145	2 -0.041 0.437 0.066
1 -0.295 -0.187 0.444	2 -0.030 0.335 -0.127
1 -0.302 -0.221 0.233	2 -0.022 0.267 -0.400
1 -0.309 -0.244 0.541	2 -0.015 0.199 0.321
1 -0.315 -0.165 1.824	2 -0.007 0.267 -0.180
1 -0.318 -0.040 3.521	2 -0.002 0.062 0.075
1 -0.314 0.278 4.576	2 -0.002 0.051 0.673
1 -0.305 0.403 3.899	2 0.001 0.187 1.077
1 -0.291 0.505 3.266	2 0.008 0.278 0.541
1 -0.275 0.539 1.684	2 0.016 0.244 0.180
1 -0.261 0.471 0.602	2 0.023 0.267 -0.312
1 -0.249 0.346 -0.426	2 0.031 0.199 -0.734
1 -0.239 0.289 -0.567	2 0.035 0.028 -0.593
1 -0.233 0.085 -0.593	2 0.036 0.085 0.347
1 -0.230 0.131 0.514	2 0.040 0.165 0.400
1 -0.228 0.017 1.455	2 0.046 0.323 0.321
1 -0.227 0.108 2.993	2 0.054 0.244 -0.198
1 -0.223 0.199 2.985	2 0.060 0.096 0.048
1 -0.213 0.369 3.231	2 0.062 0.051 0.541
