.532	R 34 0 3 -0.046 -0.038 -0.074 -1.886	4 -0.322 -0.337 0.482 3.864
L 70 1 1 -0.274 -0.311 0.062 12.954	2 0.678 0.608 0.017 -11.600	R 60 0 3 0.153 0.143 0.335 2.123	4 -0.195 -0.197 -0.210 0.620
L 71 1 1 -0.271 -0.309 0.074 13.209	2 0.678 0.608 -0.176 -11.424	R 61 0 3 0.166 0.155 0.199 0.980	4 -0.202 -0.202 -0.289 0.127
L 72 1 1 -0.269 -0.307 0.085 13.420	2 0.679 0.609 0.028 -11.231	R 61 0 3 0.166 0.165 0.210 0.505	4 -0.210 -0.208 -0.187 2.158
L 73 1 1 -0.266 -0.305 0.096 13.393	2 0.680 0.609 -0.006 -11.073	R 62 0 3 0.180 0.175 0.562 1.024	4 -0.210 -0.216 -0.255 2.105
L 73 1 1 -0.266 -0.304 0.006 13.279	2 0.681 0.609 -0.176 -11.125	R 63 0 3 0.194 0.185 0.494 1.947	4 -0.219 -0.223 -0.437 1.376
L 74 1 1 -0.264 -0.302 0.062 13.490	2 0.681 0.609 -0.176 -10.870	R 64 0 3 0.208 0.196 0.210 1.341	4 -0.230 -0.230 -0.301 0.374
L 75 1 1 -0.261 -0.300 0.085 13.464	2 0.682 0.609 -0.006 -10.589	R 64 0 3 0.208 0.206 0.267 0.620	4 -0.242 -0.236 -0.006 1.956
L 76 1 1 -0.258 -0.298 0.119 13.508	2 0.683 0.610 0.040 -10.387	R 65 0 3 0.223 0.218 0.403 1.684	4 -0.242 -0.245 -0.437 1.508
L 76 1 1 -0.258 -0.297 0.062 13.464	2 0.684 0.610 0.017 -10.334	R 66 0 3 0.237 0.228 0.471 2.220	4 -0.255 -0.255 -0.426 0.567
L 77 1 1 -0.256 -0.295 0.028 13.666	2 0.684 0.611 0.040 -10.229	R 67 0 3 0.252 0.239 0.221 1.138	4 -0.269 -0.267 -0.539 0.207
L 78 1 1 -0.253 -0.293 0.028 13.824	2 0.685 0.611 -0.006 -10.132	R 67 0 3 0.252 0.254 0.369 -0.154	4 -0.285 -0.278 -0.255 2.571
L 79 1 1 -0.251 -0.292 0.051 13.930	2 0.687 0.612 -0.176 -9.956	R 68 0 3 0.267 0.265 0.494 0.840	4 -0.285 -0.290 -0.392 1.349
L 79 1 1 -0.251 -0.290 0.040 13.763	2 0.688 0.613 -0.176 -10.097	R 69 0 3 0.283 0.272 0.392 2.308	4 -0.302 -0.299 -0.403 -0.444
L 80 1 1 -0.249 -0.288 0.040 13.815	2 0.688 0.614 0.017 -10.105	R 70 0 3 0.298 0.287 0.335 0.180	4 -0.319 -0.311 -0.573 -0.664
L 81 1 1 -0.246 -0.287 0.062 14.053	2 0.689 0.615 0.040 -9.903	R 70 0 3 0.298 0.299 0.233 -0.312	4 -0.338 -0.327 -0.335 1.385
L 82 1 1 -0.244 -0.285 0.074 14.202	2 0.690 0.616 0.051 -9.991	R 71 0 3 0.313 0.310 0.641 0.338	4 -0.338 -0.340 -0.380 0.110
L 82 1 1 -0.244 -0.283 0.006 13.895	2 0.692 0.618 0.074 -10.360	R 72 0 3 0.328 0.322 0.335 1.174	4 -0.358 -0.352 -0.732 -0.523
L 83 1 1 -0.241 -0.282 0.051 14.105	2 0.692 0.619 0.062 -10.563	R 73 0 3 0.343 0.333 0.255 -0.004	4 -0.378 -0.369 -0.426 -1.833
L 84 1 1 -0.239 -0.280 0.074 14.273	2 0.693 0.621 0.040 -10.633	R 73 0 3 0.343 0.347 0.358 -1.613	4 -0.399 -0.383 -0.437 1.270
L 85 1 1 -0.237 -0.279 0.040 14.695	2 0.694 0.623 0.062 -10.853	R 74 0 3 0.358 0.360 0.460 -0.813	4 -0.399 -0.400 -0.539 -0.462
L 85 1 1 -0.237 -0.278 0.040 14.387	2 0.696 0.624 -0.176 -10.914	R 75 0 3 0.373 0.370 0.494 0.136	4 -0.420 -0.411 -0.607 -2.316
L 86 1 1 -0.234 -0.275 0.040 14.492	2 0.696 0.624 0.028 -10.835	R 76 0 3 0.387 0.381 0.335 -1.332	4 -0.442 -0.426 -0.687 -3.960
L 87 1 1 -0.232 -0.274 0.051 14.580	2 0.697 0.624 0.017 -10.325	R 76 0 3 0.387 0.395 0.255 -2.730	4 -0.464 -0.443 -0.346 -0.189
L 88 1 1 -0.230 -0.271 0.131 14.114	2 0.699 0.625 0.017 -9.921	R 77 0 3 0.401 0.406 0.426 -2.211	4 -0.464 -0.463 -0.709 -0.778
L 88 1 1 -0.230 -0.270 0.040 13.947	2 0.701 0.625 -0.176 -9.807	R 78 0 3 0.415 0.416 0.482 -1.446	4 -0.486 -0.476 -0.607 -2.782
L 89 1 1 -0.227 -0.268 0.006 14.229	2 0.701 0.625 -0.006 -9.534	R 79 0 3 0.428 0.425 0.165 -1.833	4 -0.508 -0.491 -0.619 -4.295
L 90 1 1 -0.225 -0.266 0.085 14.062	2 0.702 0.625 0.017 -9.015	R 79 0 3 0.428 0.435 0.187 -2.624	4 -0.530 -0.510 -0.358 -0.136
L 91 1 1 -0.223 -0.264 0.096 13.947	2 0.704 0.625 0.040 -8.567	R 80 0 3 0.440 0.445 0.369 -1.807	4 -0.530 -0.528 -0.687 -0.822
L 91 1 1 -0.223 -0.262 0.051 13.754	2 0.706 0.626 0.028 -8.629	R 81 0 3 0.452 0.452 0.312 -0.655	4 -0.551 -0.543 -0.630 -2.220
L 92 1 1 -0.221 -0.260 0.028 13.675	2 0.706 0.627 0.040 -8.646	R 82 0 3 0.463 0.459 0.165 -0.892	4 -0.571 -0.556 -0.573 -3.934
L 93 1 1 -0.219 -0.258 0.051 13.640	2 0.707 0.629 0.017 -8.479	R 82 0 3 0.463 0.468 0.221 -2.053	4 -0.591 -0.573 -0.323 -0.312
L 94 1 1 -0.217 -0.256 0.074 13.455	2 0.709 0.631 0.074 -8.567	R 83 0 3 0.474 0.476 0.221 -1.051	4 -0.591 -0.591 -0.641 -0.374
L 94 1 1 -0.217 -0.254 0.028 13.235	2 0.711 0.634 0.096 -9.288	R 84 0 3 0.484 0.484 0.346 -0.743	4 -0.610 -0.600 -0.414 -2.686
L 95 1 1 -0.215 -0.253 0.017 13.429	2 0.711 0.637 0.119 -9.815	R 85 0 3 0.492 0.491 0.142 -1.358	4 -0.627 -0.613 -0.539 -3.354
L 96 1 1 -0.212 -0.250 0.074 13.508	2 0.713 0.640 0.074 -10.237	R 85 0 3 0.492 0.498 0.176 -2.158	4 -0.643 -0.630 -0.323 -0.242
L 97 1 1 -0.210 -0.249 0.074 13.262	2 0.715 0.643 0.131 -10.712	R 86 0 3 0.500 0.504 0.176 -1.710	4 -0.643 -0.640 -0.403 -1.226
L 97 1 1 -0.210 -0.247 0.051 12.857	2 0.717 0.645 0.108 -11.459	R 87 0 3 0.507 0.508 0.176 -0.796	4 -0.658 -0.649 -0.505 -2.299
L 98 1 1 -0.208 -0.245 0.040 12.945	2 0.717 0.648 0.074 -11.793	R 88 0 3 0.513 0.513 0.131 -1.393	4 -0.671 -0.662 -0.369 -2.527
L 99 1 1 -0.206 -0.243 0.074 12.831	2 0.719 0.651 0.119 -12.092	R 88 0 3 0.513 0.517 0.108 -1.798	4 -0.683 -0.672 -0.289 -0.347
L 100 1 1 -0.204 -0.241 0.108 12.541	2 0.721 0.654 0.119 -12.163	R 89 0 3 0.517 0.520 0.108 -1.024	4 -0.683 -0.680 -0.278 -1.015
L 100 1 1 -0.204 -0.239 0.051 12.013	2 0.723 0.655 0.051 -12.673	R 90 0 3 0.521 0.521 0.096 -0.338	4 -0.693 -0.686 -0.278 -1.842
L 101 1 1 -0.202 -0.236 0.062 11.723	2 0.723 0.657 0.051 -12.875	R 91 0 3 0.523 0.521 -0.017 0.251	4 -0.701 -0.690 -0.108 -3.565
L 102 1 1 -0.200 -0.234 0.040 11.723	2 0.725 0.659 0.040 -12.699	R 91 0 3 0.523 0.521 -0.096 0.778	4 -0.708 -0.693 -0.006 -3.222
L 103 1 1 -0.199 -0.233 0.074 11.600	2 0.727 0.662 0.142 -13.297	R 92 0 3 0.525 0.521 -0.017 1.420	4 -0.708 -0.696 -0.096 -4.374
L 103 1 1 -0.199 -0.231 -0.028 11.565	2 0.730 0.667 0.244 -14.563	R 93 0 3 0.525 0.521 0.017 1.692	4 -0.713 -0.700 -0.210 -4.752
L 104 1 1 -0.197 -0.231 -0.017 12.110	2 0.730 0.673 0.006 -16.119	R 94 0 3 0.525 0.520 -0.028 1.974	4 -0.717 -0.702 -0.165 -4.629
L 105 1 1 -0.195 -0.231 0.017 12.743	2 0.732 0.679 0.006 -17.499	R 94 0 3 0.525 0.519 -0.017 2.149	4 -0.719 -0.708 -0.051 -3.556
L 106 1 1 -0.193 -0.231 0.006 13.051	2 0.734 0.684 0.244 17.543	R 95 0 3 0.524 0.518 -0.028 2.105	4 -0.719 -0.711 -0.153 -2.914
L 106 1 1 -0.193 -0.231 -0.006 13.033	2 0.737 0.688 0.096 16.593	R 96 0 3 0.522 0.516 -0.085 1.921	4 -0.721 -0.713 -0.028 -2.888
L 107 1 1 -0.191 -0.230 0.028 13.420	2 0.737 0.691 0.096 15.934	R 97 0 3 0.519 0.514 -0.062 2.167	4 -0.721 -0.713 0.028 -2.914
L 108 1 1 -0.189 -0.228 0.040 13.613	2 0.739 0.693 0.017 16.330	R 97 0 3 0.519 0.512 -0.085 2.642	4 -0.720 -0.712 0.006 -3.108
L 109 1 1 -0.188 -0.226 0.062 13.358	2 0.742 0.693 0.062 16.998	R 98 0 3 0.516 0.508 -0.108 2.659	4 -0.720 -0.710 0.085 -3.688
L 109 1 1 -0.188 -0.224 0.062 12.760	2 0.744 0.693 -0.028 17.508	R 99 0 3 0.512 0.505 -0.142 2.730	4 -0.719 -0.708 0.085 -3.864
L 110 1 1 -0.186 -0.222 0.040 12.655	2 0.744 0.693 -0.028 17.965	R 0 1 3 0.509 0.503 -0.062 2.800	4 -0.717 -0.706 0.028 -3.881
L 111 1 1 -0.184 -0.221 0.017 12.743	2 0.747 0.694 0.028 -17.604	R 0 1 3 0.509 0.500 -0.040 2.993	4 -0.715 -0.706 -0.017 -4.057
L 112 1 1 -0.183 -0.220 0.006 12.760	2 0.749 0.696 0.096 -17.455	R 1 1 3 0.505 0.498 -0.085 2.440	4 -0.715 -0.708 -0.380 -1.684
L 112 1 1 -0.183 -0.217 0.119 12.075	2 0.752 0.696 -0.006 -16.866	R 2 1 3 0.501 0.495 -0.096 2.281	4 -0.713 -0.713 -0.108 -0.259
L 113 1 1 -0.181 -0.215 0.062 11.776	2 0.752 0.697 0.131 -16.840	R 3 1 3 0.497 0.494 0.028 1.657	4 -0.711 -0.715 -0.006 0.259
L 114 1 1 -0.179 -0.214 -0.028 12.119	2 0.755 0.701 0.142 -16.963	R 3 1 3 0.497 0.493 -0.017 1.305	4 -0.709 -0.715 -0.017 1.314
L 115 1 1 -0.178 -0.214 -0.006 12.514	2 0.758 0.704 0.153 -17.288	R 4 1 3 0.493 0.489 -0.108 1.209	4 -0.709 -0.715 0.017 1.886
L 115 1 1 -0.178 -0.214 -0.006 12.585	2 0.760 0.707 0.051 17.982	R 5 1 3 0.489 0.487 -0.142 0.673	4 -0.707 -0.715 -0.028 2.466
L 116 1 1 -0.176 -0.213 0.051 12.875	2 0.760 0.709 0.040 -17.912	R 6 1 3 0.485 0.486 -0.051 0.347	4 -0.706 -0.714 0.040 3.002
L 117 1 1 -0.175 -0.212 0.051 12.963	2 0.763 0.710 0.051 -17.262	R 6 1 3 0.485 0.484 -0.040 0.382	4 -0.704 -0.714 0.051 2.756
L 118 1 1 -0.173 -0.211 0.006 12.989	2 0.766 0.712 0.096 -17.147	R 7 1 3 0.481 0.480 -0.119 0.374	4 -0.704 -0.712 0.006 2.844
L 118 1 1 -0.173 -0.210 0.028 12.778	2 0.769 0.714 0.074 -17.279	R 8 1 3 0.477 0.478 -0.153 0.013	4 -0.702 -0.712 0.006 3.292
L 119 1 1 -0.172 -0.209 0.051 13.033	2 0.769 0.716 0.085 -17.411	R 9 1 3 0.473 0.475 -0.040 0.180	4 -0.701 -0.712 0.017 3.767
L 0 0 1 -0.170 -0.208 0.051 13.226	2 0.772 0.719 0.119 -17.323	R 9 1 3 0.473 0.472 -0.051 0.462	4 -0.699 -0.712 -0.006 3.864
L 1 0 1 -0.169 -0.207 0.028 13.270	2 0.775 0.722 0.153 -17.446	R 10 1 3 0.469 0.469 -0.142 0.215	4 -0.699 -0.711 0.006 4.268
L 1 0 1 -0.169 -0.206 0.119 12.752	2 0.778 0.722 -0.040 -16.936	R 11 1 3 0.465 0.467 -0.131 -0.295	4 -0.697 -0.710 0.051 4.127
L 2 0 1 -0.168 -0.202 0.131 11.943	2 0.778 0.721 -0.085 -15.890	R 12 1 3 0.462 0.463 -0.006 0.462	4 -0.696 -0.707 0.119 3.723
L 3 0 1 -0.166 -0.197 0.119 10.809	2 0.781 0.719 -0.085 -14.167	R 12 1 3 0.462 0.459 -0.153 1.024	4 -0.694 -0.704 0.187 2.299
L 4 0 1 -0.165 -0.193 0.153 9.710	2 0.784 0.717 -0.040 -12.831	R 13 1 3 0.458 0.453 -0.131 1.543	4 -0.694 -0.699 0.074 1.429
L 4 0 1 -0.165 -0.190 0.074 8.875	2 0.786 0.717 0.017 -12.303	R 14 1 3 0.454 0.450 -0.153 1.657	4 -0.693 -0.696 0.074 1.086
L 5 0 1 -0.163 -0.187 0.096 8.567	2 0.786 0.717 0.040 -11.987	R 15 1 3 0.450 0.448 -0.028 1.719	4 -0.692 -0.696 0.006 1.376
L 6 0 1 -0.160 -0.185 0.051 8.593	2 0.786 0.719 0.119 -12.453	R 15 1 3 0.450 0.444 -0.119 2.299	4 -0.690 -0.697 -0.062 1.631
L 7 0 1 -0.158 -0.183 0.040 8.558	2 0.786 0.722 0.142 -13.719	R 16 1 3 0.447 0.441 -0.131 2.123	4 -0.690 -0.697 -0.006 2.149
L 7 0 1 -0.158 -0.182 0.074 8.259	2 0.784 0.725 0.108 -14.914	R 17 1 3 0.443 0.437 -0.199 2.422	4 -0.689 -0.696 0.006 2.273
L 8 0 1 -0.154 -0.179 0.085 8.620	2 0.784 0.727 0.062 -15.749	R 18 1 3 0.439 0.434 -0.074 2.809	4 -0.688 -0.694 0.074 2.273
L 9 0 1 -0.150 -0.176 0.108 8.769	2 0.781 0.727 0.017 -16.954	R 18 1 3 0.439 0.429 -0.119 3.538	4 -0.687 -0.693 0.062 1.763
L 10 0 1 -0.146 -0.172 0.153 8.655	2 0.776 0.725 -0.062 -17.982	R 19 1 3 0.436 0.426 -0.142 3.459	4 -0.687 -0.691 0.119 1.297
L 10 0 1 -0.146 -0.168 0.108 7.960	2 0.770 0.725 0.006 16.998	R 20 1 3 0.432 0.422 -0.153 3.635	4 -0.685 -0.688 0.085 0.892
L 11 0 1 -0.141 -0.165 0.108 8.497	2 0.770 0.724 0.028 15.899	R 21 1 3 0.428 0.419 -0.119 4.092	4 -0.684 -0.687 0.006 0.831
L 12 0 1 -0.135 -0.161 0.176 8.866	2 0.761 0.722 -0.040 13.692	R 21 1 3 0.428 0.415 -0.074 4.629	4 -0.683 -0.686 0.017 0.778
L 13 0 1 -0.128 -0.157 0.153 9.437	2 0.751 0.719 -0.244 11.477	R 22 1 3 0.425 0.411 -0.176 4.919	4 -0.683 -0.683 0.108 -0.136
L 13 0 1 -0.128 -0.152 0.176 8.198	2 0.739 0.716 -0.074 10.695	R 23 1 3 0.421 0.407 -0.187 4.989	4 -0.682 -0.678 0.176 -1.604
L 14 0 1 -0.121 -0.146 0.187 8.927	2 0.739 0.710 -0.153 10.035	R 24 1 3 0.418 0.403 -0.131 5.851	4 -0.681 -0.673 0.233 -3.081
L 15 0 1 -0.112 -0.140 0.301 9.393	2 0.725 0.702 -0.187 7.723	R 24 1 3 0.418 0.398 -0.187 7.002	4 -0.680 -0.667 0.221 -5.051
L 16 0 1 -0.104 -0.133 0.199 9.314	2 0.709 0.694 -0.380 5.666	R 25 1 3 0.414 0.394 -0.153 7.204	4 -0.680 -0.662 0.176 -6.492
L 16 0 1 -0.104 -0.125 0.233 7.345	2 0.692 0.688 -0.187 4.892	R 26 1 3 0.410 0.390 -0.142 7.565	4 -0.679 -0.657 0.062 -7.257
L 17 0 1 -0.095 -0.118 0.380 7.767	2 0.692 0.678 -0.187 4.857	R 27 1 3 0.407 0.386 -0.085 8.040	4 -0.678 -0.654 0.108 -8.743
