.532	R 34 0 3 -0.046 -0.038 -0.074 -1.886	4 -0.322 -0.337 0.482 3.864
L 33 0 1 0.042 0.037 0.040 1.701	2 0.341 0.355 -0.585 -4.514	R 42 1 3 0.356 0.357 -0.006 -0.321	4 -0.669 -0.633 -0.040 -12.778
L 34 0 1 0.046 0.040 0.051 1.780	2 0.322 0.340 -0.630 -5.358	R 43 1 3 0.353 0.355 -0.131 -0.725	4 -0.669 -0.633 0.017 -12.681
L 34 0 1 0.046 0.042 0.096 1.270	2 0.305 0.328 -0.142 -4.892	R 44 1 3 0.350 0.355 -0.074 -1.587	4 -0.669 -0.633 0.017 -12.875
L 35 0 1 0.048 0.042 0.006 1.719	2 0.305 0.314 -0.596 -3.020	R 45 1 3 0.347 0.355 0.006 -1.121	4 -0.669 -0.633 -0.017 -12.831
L 36 0 1 0.049 0.043 0.062 1.807	2 0.288 0.301 -0.516 -4.251	R 45 1 3 0.347 0.355 0.017 -2.835	4 -0.669 -0.632 0.028 -12.954
L 37 0 1 0.049 0.044 -0.006 1.455	2 0.273 0.290 -0.471 -5.420	R 46 1 3 0.344 0.354 0.028 -3.758	4 -0.669 -0.632 -0.028 -13.103
L 37 0 1 0.049 0.045 0.017 1.349	2 0.259 0.281 -0.165 -4.602	R 47 1 3 0.341 0.354 -0.051 -4.523	4 -0.669 -0.631 0.051 -13.402
L 38 0 1 0.047 0.044 0.017 0.998	2 0.259 0.269 -0.244 -3.855	R 48 1 3 0.337 0.353 -0.040 -4.804	4 -0.669 -0.630 0.017 -13.789
L 39 0 1 0.045 0.044 -0.040 0.453	2 0.246 0.260 -0.448 -4.374	R 48 1 3 0.337 0.352 -0.040 -5.200	4 -0.669 -0.629 0.028 -14.149
L 40 0 1 0.042 0.044 -0.006 -0.268	2 0.235 0.251 -0.380 -4.971	R 49 1 3 0.334 0.351 -0.028 -6.026	4 -0.669 -0.628 0.017 -14.501
L 40 0 1 0.042 0.043 -0.051 -0.198	2 0.225 0.244 -0.131 -4.470	R 50 1 3 0.331 0.350 -0.074 -6.545	4 -0.669 -0.627 0.051 -14.818
L 41 0 1 0.038 0.042 0.040 -1.393	2 0.225 0.236 -0.176 -4.163	R 51 1 3 0.328 0.349 -0.017 -6.563	4 -0.669 -0.626 0.040 -15.090
L 42 0 1 0.033 0.041 -0.142 -2.185	2 0.216 0.229 -0.358 -4.382	R 51 1 3 0.328 0.348 -0.017 -6.932	4 -0.669 -0.625 0.040 -15.345
L 43 0 1 0.027 0.038 -0.108 -3.565	2 0.208 0.223 -0.278 -4.875	R 52 1 3 0.325 0.346 -0.028 -7.477	4 -0.669 -0.624 0.028 -15.600
L 43 0 1 0.027 0.036 -0.096 -3.143	2 0.201 0.217 -0.165 -4.092	R 53 1 3 0.322 0.345 -0.085 -7.776	4 -0.669 -0.624 0.006 -15.846
L 44 0 1 0.020 0.031 -0.176 -3.987	2 0.201 0.212 -0.040 -4.251	R 54 1 3 0.319 0.344 -0.051 -7.820	4 -0.669 -0.624 -0.006 -16.127
L 45 0 1 0.012 0.025 -0.255 -4.523	2 0.196 0.209 -0.062 -4.971	R 54 1 3 0.319 0.342 -0.062 -7.899	4 -0.669 -0.623 0.028 -16.295
L 46 0 1 0.004 0.019 -0.312 -4.593	2 0.191 0.205 -0.142 -4.963	R 55 1 3 0.316 0.339 -0.062 -8.338	4 -0.669 -0.623 -0.017 -16.418
L 46 0 1 0.004 0.012 -0.255 -2.949	2 0.187 0.202 -0.119 -4.400	R 56 1 3 0.313 0.337 -0.108 -8.224	4 -0.670 -0.622 0.006 -16.690
L 47 0 1 -0.005 0.005 -0.255 -3.785	2 0.187 0.199 -0.085 -4.136	R 57 1 3 0.310 0.336 -0.108 -8.092	4 -0.670 -0.622 0.006 -16.927
L 48 0 1 -0.015 -0.003 -0.244 -4.286	2 0.184 0.196 -0.028 -4.576	R 57 1 3 0.310 0.333 -0.096 -7.996	4 -0.670 -0.622 0.028 -17.095
L 49 0 1 -0.025 -0.010 -0.267 -4.268	2 0.182 0.195 -0.108 -4.673	R 58 1 3 0.307 0.331 -0.062 -8.242	4 -0.670 -0.621 0.006 -17.376
L 49 0 1 -0.025 -0.018 -0.255 -2.633	2 0.180 0.194 -0.074 -4.418	R 59 1 3 0.305 0.328 -0.165 -8.136	4 -0.671 -0.620 0.028 -17.745
L 50 0 1 -0.035 -0.025 -0.233 -3.547	2 0.180 0.192 -0.096 -4.259	R 60 1 3 0.302 0.326 -0.074 -7.767	4 -0.671 -0.620 -0.017 17.982
L 51 0 1 -0.046 -0.033 -0.289 -4.435	2 0.179 0.191 -0.040 -4.330	R 60 1 3 0.302 0.324 -0.085 -7.802	4 -0.672 -0.620 -0.017 17.938
L 52 0 1 -0.057 -0.040 -0.312 -4.620	2 0.178 0.189 -0.028 -4.171	R 61 1 3 0.299 0.321 -0.040 -8.048	4 -0.672 -0.620 0.006 17.771
L 52 0 1 -0.057 -0.049 -0.335 -2.554	2 0.177 0.188 -0.028 -3.873	R 62 1 3 0.296 0.319 -0.131 -8.004	4 -0.672 -0.620 -0.017 17.631
L 53 0 1 -0.068 -0.058 -0.278 -3.292	2 0.177 0.189 -0.017 -3.952	R 63 1 3 0.293 0.318 -0.040 -8.022	4 -0.673 -0.620 0.176 17.420
L 54 0 1 -0.079 -0.067 -0.335 -4.101	2 0.177 0.188 -0.006 -4.048	R 63 1 3 0.293 0.316 -0.040 -7.960	4 -0.673 -0.620 -0.028 17.437
L 55 0 1 -0.090 -0.075 -0.289 -4.101	2 0.178 0.188 0.062 -3.811	R 64 1 3 0.290 0.313 -0.085 -8.268	4 -0.673 -0.620 -0.017 17.332
L 55 0 1 -0.090 -0.084 -0.267 -2.334	2 0.179 0.188 -0.017 -3.503	R 65 1 3 0.288 0.312 -0.074 -8.497	4 -0.674 -0.620 -0.028 17.077
L 56 0 1 -0.102 -0.093 -0.301 -3.354	2 0.179 0.189 0.006 -3.503	R 66 1 3 0.285 0.310 -0.096 -8.127	4 -0.674 -0.620 0.006 16.875
L 57 0 1 -0.114 -0.102 -0.358 -4.171	2 0.182 0.190 0.051 -3.081	R 66 1 3 0.285 0.308 -0.074 -8.110	4 -0.675 -0.620 0.176 16.840
L 58 0 1 -0.127 -0.112 -0.414 -3.925	2 0.185 0.192 0.096 -2.677	R 67 1 3 0.282 0.306 -0.006 -8.611	4 -0.675 -0.620 -0.028 16.725
L 58 0 1 -0.127 -0.122 -0.358 -1.684	2 0.190 0.196 0.074 -3.116	R 68 1 3 0.279 0.304 -0.119 -8.330	4 -0.676 -0.620 0.176 16.444
L 59 0 1 -0.140 -0.131 -0.312 -2.826	2 0.190 0.199 0.119 -3.538	R 69 1 3 0.277 0.302 -0.108 -8.163	4 -0.677 -0.620 -0.028 16.215
L 60 0 1 -0.153 -0.141 -0.278 -4.066	2 0.195 0.203 0.176 -3.020	R 69 1 3 0.277 0.300 -0.040 -8.163	4 -0.677 -0.620 -0.017 16.198
L 61 0 1 -0.166 -0.150 -0.335 -4.347	2 0.202 0.208 0.301 -2.738	R 70 1 3 0.274 0.298 -0.006 -8.611	4 -0.677 -0.620 -0.028 16.031
L 61 0 1 -0.166 -0.159 -0.323 -2.290	2 0.210 0.215 0.108 -3.442	R 71 1 3 0.271 0.296 -0.119 -8.470	4 -0.678 -0.620 0.176 15.644
L 62 0 1 -0.180 -0.168 -0.301 -3.899	2 0.210 0.220 0.153 -3.679	R 72 1 3 0.269 0.295 -0.028 -8.470	4 -0.679 -0.621 -0.017 15.495
L 63 0 1 -0.194 -0.179 -0.369 -5.156	2 0.219 0.226 0.278 -2.756	R 72 1 3 0.269 0.293 -0.085 -8.426	4 -0.680 -0.621 -0.028 15.582
L 64 0 1 -0.208 -0.190 -0.448 -4.954	2 0.230 0.236 0.369 -2.862	R 73 1 3 0.266 0.291 -0.051 -9.007	4 -0.680 -0.622 -0.051 15.451
L 64 0 1 -0.208 -0.202 -0.437 -1.912	2 0.242 0.244 0.108 -2.818	R 74 1 3 0.264 0.289 -0.119 -8.980	4 -0.681 -0.622 -0.051 15.310
L 65 0 1 -0.223 -0.213 -0.369 -3.204	2 0.242 0.252 0.221 -3.890	R 75 1 3 0.261 0.287 -0.108 -8.690	4 -0.682 -0.622 -0.028 15.046
L 66 0 1 -0.237 -0.225 -0.392 -4.171	2 0.255 0.262 0.437 -2.844	R 75 1 3 0.261 0.286 -0.040 -8.787	4 -0.683 -0.623 -0.040 15.178
L 67 0 1 -0.252 -0.236 -0.414 -4.119	2 0.269 0.273 0.539 -1.947	R 76 1 3 0.258 0.284 -0.028 -9.218	4 -0.683 -0.624 -0.040 15.064
L 67 0 1 -0.252 -0.249 -0.414 -1.341	2 0.285 0.282 0.233 -2.273	R 77 1 3 0.256 0.282 -0.142 -8.998	4 -0.684 -0.624 -0.028 14.774
L 68 0 1 -0.267 -0.258 -0.392 -2.800	2 0.285 0.293 0.244 -3.152	R 78 1 3 0.253 0.281 -0.108 -8.857	4 -0.685 -0.625 -0.040 14.633
L 69 0 1 -0.283 -0.270 -0.437 -3.873	2 0.302 0.307 0.516 -2.158	R 78 1 3 0.253 0.279 -0.051 -9.015	4 -0.687 -0.626 -0.074 14.985
L 70 0 1 -0.298 -0.283 -0.414 -3.653	2 0.319 0.319 0.528 -0.338	R 79 1 3 0.251 0.277 -0.051 -9.367	4 -0.687 -0.627 -0.085 14.941
L 70 0 1 -0.298 -0.296 -0.437 -0.655	2 0.338 0.329 0.267 -1.191	R 80 1 3 0.249 0.274 -0.187 -9.103	4 -0.688 -0.628 -0.074 14.941
L 71 0 1 -0.313 -0.309 -0.460 -1.235	2 0.338 0.345 0.278 -2.413	R 81 1 3 0.246 0.274 -0.062 -9.279	4 -0.689 -0.629 -0.040 14.888
L 72 0 1 -0.328 -0.321 -0.358 -2.026	2 0.358 0.359 0.460 -0.224	R 81 1 3 0.246 0.273 -0.028 -9.182	4 -0.690 -0.630 -0.028 15.160
L 73 0 1 -0.343 -0.332 -0.369 -1.578	2 0.378 0.371 0.812 0.884	R 82 1 3 0.244 0.270 -0.074 -9.332	4 -0.690 -0.631 -0.074 15.187
L 73 0 1 -0.343 -0.346 -0.380 0.347	2 0.399 0.385 0.369 -0.224	R 83 1 3 0.241 0.269 -0.165 -9.420	4 -0.692 -0.632 -0.028 14.923
L 74 0 1 -0.358 -0.358 -0.494 -0.259	2 0.399 0.399 0.244 0.242	R 84 1 3 0.239 0.267 -0.051 -9.305	4 -0.693 -0.633 -0.062 14.967
L 75 0 1 -0.373 -0.370 -0.539 -0.215	2 0.420 0.416 0.664 1.323	R 84 1 3 0.239 0.265 -0.006 -9.262	4 -0.694 -0.634 -0.085 15.415
L 76 0 1 -0.387 -0.384 -0.494 0.673	2 0.442 0.430 0.857 2.202	R 85 1 3 0.237 0.263 -0.074 -9.420	4 -0.694 -0.635 -0.074 15.275
L 76 0 1 -0.387 -0.397 -0.437 2.659	2 0.464 0.445 0.210 1.886	R 86 1 3 0.234 0.261 -0.108 -9.235	4 -0.696 -0.636 -0.062 14.897
L 77 0 1 -0.401 -0.407 -0.323 2.193	2 0.464 0.458 0.358 2.123	R 87 1 3 0.232 0.259 -0.085 -8.884	4 -0.697 -0.637 -0.051 14.721
L 78 0 1 -0.415 -0.418 -0.426 1.578	2 0.486 0.474 0.755 3.609	R 87 1 3 0.232 0.257 -0.051 -8.769	4 -0.699 -0.638 -0.062 15.011
L 79 0 1 -0.428 -0.429 -0.426 2.492	2 0.508 0.490 0.641 5.138	R 88 1 3 0.230 0.254 -0.051 -8.778	4 -0.699 -0.639 -0.028 14.949
L 79 0 1 -0.428 -0.441 -0.346 4.629	2 0.530 0.507 0.278 3.591	R 89 1 3 0.227 0.252 -0.142 -8.488	4 -0.701 -0.640 -0.085 14.756
L 80 0 1 -0.440 -0.450 -0.255 3.284	2 0.530 0.522 0.448 2.712	R 90 1 3 0.225 0.250 -0.131 -8.075	4 -0.702 -0.642 -0.085 14.809
L 81 0 1 -0.452 -0.458 -0.267 2.035	2 0.551 0.538 0.755 3.837	R 90 1 3 0.225 0.248 -0.096 -7.881	4 -0.704 -0.643 -0.051 15.187
L 82 0 1 -0.463 -0.466 -0.312 1.508	2 0.571 0.554 0.630 4.822	R 91 1 3 0.223 0.245 -0.040 -8.092	4 -0.704 -0.645 -0.108 15.257
L 82 0 1 -0.463 -0.474 -0.278 3.793	2 0.591 0.571 0.358 2.862	R 92 1 3 0.221 0.242 -0.119 -7.477	4 -0.706 -0.646 -0.051 15.169
L 83 0 1 -0.474 -0.479 -0.210 2.026	2 0.591 0.586 0.460 2.000	R 93 1 3 0.219 0.240 -0.108 -6.993	4 -0.707 -0.648 -0.096 15.134
L 84 0 1 -0.484 -0.486 -0.233 1.033	2 0.610 0.599 0.630 2.967	R 93 1 3 0.219 0.238 -0.074 -6.607	4 -0.709 -0.649 -0.062 15.644
L 85 0 1 -0.492 -0.493 -0.267 0.822	2 0.627 0.613 0.562 3.890	R 94 1 3 0.217 0.235 -0.040 -6.756	4 -0.709 -0.651 -0.085 15.802
L 85 0 1 -0.492 -0.500 -0.267 2.941	2 0.643 0.625 0.210 2.976	R 95 1 3 0.215 0.233 -0.108 -6.273	4 -0.711 -0.654 -0.040 15.714
L 86 0 1 -0.500 -0.505 -0.119 2.009	2 0.643 0.636 0.392 2.316	R 96 1 3 0.212 0.231 -0.142 -5.833	4 -0.713 -0.656 -0.119 16.013
L 87 0 1 -0.507 -0.511 -0.210 1.754	2 0.658 0.649 0.482 3.011	R 96 1 3 0.212 0.228 -0.096 -5.604	4 -0.715 -0.658 -0.085 16.655
L 88 0 1 -0.513 -0.516 -0.096 1.314	2 0.671 0.657 0.323 4.295	R 97 1 3 0.210 0.226 -0.062 -5.596	4 -0.715 -0.661 -0.119 16.831
L 88 0 1 -0.513 -0.517 -0.074 1.420	2 0.683 0.663 0.051 4.426	R 98 1 3 0.208 0.224 -0.108 -5.411	4 -0.717 -0.664 -0.108 17.226
L 89 0 1 -0.517 -0.518 -0.096 0.136	2 0.683 0.672 0.255 4.040	R 99 1 3 0.206 0.223 -0.051 -5.349	4 -0.719 -0.667 -0.153 -17.859
L 90 0 1 -0.521 -0.520 -0.108 -0.338	2 0.693 0.678 0.085 5.508	R 99 1 3 0.206 0.221 -0.017 -5.473	4 -0.721 -0.672 -0.187 -16.593
L 91 0 1 -0.523 -0.520 -0.006 -0.963	2 0.701 0.681 0.301 6.378	R 100 1 3 0.204 0.221 -0.006 -6.097	4 -0.721 -0.677 -0.221 -15.670
L 91 0 1 -0.523 -0.520 -0.017 -1.244	2 0.708 0.685 0.085 6.527	R 101 1 3 0.202 0.221 0.006 -6.695	4 -0.723 -0.683 -0.165 -14.404
L 92 0 1 -0.525 -0.520 -0.006 -1.815	2 0.708 0.691 0.085 6.149	R 102 1 3 0.200 0.221 -0.017 -7.046	4 -0.725 -0.689 -0.221 -12.884
L 93 0 1 -0.525 -0.520 -0.017 -2.097	2 0.713 0.695 0.176 6.299	R 102 1 3 0.200 0.221 -0.006 -7.503	4 -0.727 -0.694 -0.153 -11.389
L 94 0 1 -0.525 -0.519 0.040 -2.193	2 0.717 0.699 0.074 6.396	R 103 1 3 0.199 0.221 -0.017 -8.119	4 -0.727 -0.698 -0.096 -10.624
L 94 0 1 -0.525 -0.519 0.006 -2.378	2 0.719 0.700 0.006 6.255	R 104 1 3 0.197 0.221 -0.017 -8.567	4 -0.730 -0.700 -0.074 -10.510
L 95 0 1 -0.524 -0.518 0.028 -2.308	2 0.719 0.701 -0.006 6.659	R 105 1 3 0.195 0.221 -0.051 -8.681	4 -0.732 -0.701 -0.074 -10.985
L 96 0 1 -0.522 -0.516 0.074 -2.018	2 0.721 0.700 -0.028 7.222	R 105 1 3 0.195 0.219 -0.096 -8.646	4 -0.734 -0.701 -0.006 -10.967
L 97 0 1 -0.519 -0.514 0.096 -1.868	2 0.721 0.699 -0.028 7.424	R 106 1 3 0.193 0.218 -0.040 -8.910	4 -0.734 -0.702 -0.051 -11.319
L 97 0 1 -0.519 -0.513 0.051 -2.396	2 0.720 0.699 -0.006 7.442	R 107 1 3 0.191 0.218 -0.040 -9.279	4 -0.737 -0.704 -0.074 -11.565
L 98 0 1 -0.516 -0.511 0.074 -1.974	2 0.720 0.699 -0.028 7.415	R 108 1 3 0.189 0.217 -0.017 -9.288	4 -0.739 -0.707 -0.108 -11.248
L 99 0 1 -0.512 -0.508 0.062 -1.560	2 0.719 0.698 -0.017 7.055	R 108 1 3 0.189 0.216 -0.040 -9.420	4 -0.742 -0.709 -0.108 -10.651
L 0 1 1 -0.509 -0.506 0.085 -1.138	2 0.717 0.698 -0.051 6.738	R 109 1 3 0.188 0.216 -0.040 -9.789	4 -0.742 -0.711 -0.085 -10.782
L 0 1 1 -0.509 -0.504 0.062 -1.675	2 0.715 0.698 0.006 6.554	R 110 1 3 0.186 0.215 -0.062 -10.018	4 -0.744 -0.713 -0.028 -11.354
L 1 1 1 -0.505 -0.501 0.119 -1.235	2 0.715 0.700 0.221 5.086	R 111 1 3 0.184 0.211 -0.131 -9.121	4 -0.747 -0.712 -0.006 -12.101
L 2 1 1 -0.501 -0.499 0.074 -0.848	2 0.713 0.702 0.074 3.785	R 111 1 3 0.184 0.208 -0.085 -8.514	4 -0.749 -0.713 -0.040 -11.908
L 3 1 1 -0.497 -0.498 0.040 0.154	2 0.711 0.703 -0.006 2.976	R 112 1 3 0.183 0.208 -0.051 -8.901	4 -0.749 -0.715 -0.074 -12.207
L 3 1 1 -0.497 -0.496 0.131 -0.356	2 0.709 0.702 -0.017 2.703	R 113 1 3 0.181 0.207 -0.028 -9.209	4 -0.752 -0.718 -0.119 -11.908
L 4 1 1 -0.493 -0.492 0.096 -0.189	2 0.709 0.702 -0.006 2.589	R 114 1 3 0.179 0.207 -0.017 -9.349	4 -0.755 -0.721 -0.096 -11.864
L 5 1 1 -0.489 -0.491 0.131 0.514	2 0.707 0.702 -0.006 1.903	R 114 1 3 0.179 0.206 -0.062 -9.332	4 -0.758 -0.723 -0.074 -11.196
L 6 1 1 -0.485 -0.487 0.119 0.409	2 0.706 0.702 -0.028 1.305	R 115 1 3 0.178 0.205 -0.028 -9.543	4 -0.758 -0.726 -0.108 -11.363
L 6 1 1 -0.485 -0.485 0.017 0.127	2 0.704 0.701 -0.040 1.235	R 116 1 3 0.176 0.205 -0.017 -9.912	4 -0.760 -0.728 -0.119 -11.134
L 7 1 1 -0.481 -0.483 0.142 0.497	2 0.704 0.701 -0.040 1.226	R 117 1 3 0.175 0.204 -0.028 -9.886	4 -0.763 -0.731 -0.153 -11.284
L 8 1 1 -0.477 -0.480 0.131 0.936	2 0.702 0.700 -0.006 0.681	R 117 1 3 0.175 0.203 -0.062 -9.868	4 -0.766 -0.732 -0.108 -11.002
L 9 1 1 -0.473 -0.479 0.108 1.490	2 0.701 0.699 -0.017 0.374	R 118 1 3 0.173 0.202 -0.028 -10.141	4 -0.766 -0.734 -0.028 -11.301
L 9 1 1 -0.473 -0.476 0.074 0.848	2 0.699 0.699 -0.017 0.400	R 119 1 3 0.172 0.201 -0.006 -10.360	4 -0.769 -0.736 -0.108 -11.565
L 10 1 1 -0.469 -0.474 0.074 1.323	2 0.699 0.698 -0.028 0.444	R 0 0 3 0.170 0.200 -0.051 -10.343	4 -0.772 -0.738 -0.108 -11.829
L 11 1 1 -0.465 -0.471 0.108 1.745	2 0.697 0.697 -0.017 0.119	R 0 0 3 0.170 0.199 -0.074 -10.167	4 -0.775 -0.740 -0.028 -11.363
L 12 1 1 -0.462 -0.469 0.119 2.193	2 0.696 0.697 -0.040 -0.251	R 1 0 3 0.169 0.199 -0.040 -10.308	4 -0.775 -0.742 -0.051 -11.785
L 12 1 1 -0.462 -0.467 0.074 1.727	2 0.694 0.696 -0.074 -0.259	R 2 0 3 0.168 0.196 -0.153 -9.833	4 -0.778 -0.742 0.017 -12.971
L 13 1 1 -0.458 -0.463 0.165 1.525	2 0.694 0.694 -0.085 0.101	R 3 0 3 0.166 0.191 -0.165 -8.479	4 -0.781 -0.739 0.017 -14.686
L 14 1 1 -0.454 -0.459 0.096 1.587	2 0.693 0.691 -0.153 0.813	R 3 0 3 0.166 0.188 -0.142 -7.538	4 -0.784 -0.736 0.062 -15.741
L 15 1 1 -0.450 -0.455 0.187 1.147	2 0.692 0.685 -0.233 2.352	R 4 0 3 0.165 0.184 -0.142 -6.905	4 -0.784 -0.735 0.062 -17.288
L 15 1 1 -0.450 -0.450 0.108 -0.145	2 0.690 0.681 -0.131 3.732	R 5 0 3 0.163 0.181 -0.085 -6.545	4 -0.786 -0.735 0.006 -17.947
L 16 1 1 -0.447 -0.447 0.142 0.119	2 0.690 0.678 -0.062 4.312	R 6 0 3 0.160 0.179 -0.096 -6.176	4 -0.786 -0.736 -0.051 -17.754
L 17 1 1 -0.443 -0.445 0.108 0.479	2 0.689 0.678 -0.006 3.873	R 6 0 3 0.160 0.178 -0.051 -6.246	4 -0.786 -0.738 -0.119 -16.778
L 18 1 1 -0.439 -0.443 0.096 0.664	2 0.688 0.678 0.040 3.196	R 7 0 3 0.158 0.177 -0.028 -6.897	4 -0.786 -0.743 -0.187 -15.231
L 18 1 1 -0.439 -0.439 0.051 0.013	2 0.687 0.679 0.017 2.862	R 8 0 3 0.154 0.176 -0.074 -7.574	4 -0.784 -0.746 -0.028 -13.798
L 19 1 1 -0.436 -0.436 0.165 0.101	2 0.687 0.678 -0.028 2.747	R 9 0 3 0.150 0.175 -0.085 -7.547	4 -0.781 -0.747 0.028 -12.330
L 20 1 1 -0.432 -0.434 0.017 0.479	2 0.685 0.678 0.006 2.686	R 9 0 3 0.150 0.171 -0.096 -7.292	4 -0.776 -0.747 -0.028 -12.031
L 21 1 1 -0.428 -0.430 0.085 0.330	2 0.684 0.675 -0.131 3.169	R 10 0 3 0.146 0.168 -0.096 -7.864	4 -0.776 -0.745 0.017 -10.738
L 21 1 1 -0.428 -0.426 0.108 -0.752	2 0.683 0.672 -0.165 4.127	R 11 0 3 0.141 0.164 -0.119 -8.154	4 -0.770 -0.743 0.142 -9.657
L 22 1 1 -0.425 -0.422 0.074 -0.919	2 0.683 0.669 -0.096 5.042	R 12 0 3 0.135 0.161 -0.131 -7.670	4 -0.761 -0.739 0.267 -8.532
L 23 1 1 -0.421 -0.418 0.153 -1.112	2 0.682 0.665 -0.085 5.938	R 12 0 3 0.135 0.156 -0.119 -7.442	4 -0.751 -0.736 0.051 -8.963
L 24 1 1 -0.418 -0.414 0.096 -1.385	2 0.681 0.661 -0.165 7.099	R 13 0 3 0.128 0.151 -0.142 -8.251	4 -0.751 -0.731 0.017 -6.677
L 24 1 1 -0.418 -0.411 0.119 -2.651	2 0.680 0.657 -0.119 8.066	R 14 0 3 0.121 0.147 -0.267 -8.673	4 -0.739 -0.725 0.221 -4.910
L 25 1 1 -0.414 -0.406 0.131 -2.905	2 0.680 0.654 -0.131 9.086	R 15 0 3 0.112 0.141 -0.199 -8.110	4 -0.725 -0.722 0.414 -2.677
L 26 1 1 -0.410 -0.403 0.040 -2.686	2 0.679 0.651 -0.096 9.868	R 15 0 3 0.112 0.133 -0.278 -7.160	4 -0.709 -0.716 -0.085 -2.466
L 27 1 1 -0.407 -0.400 0.074 -2.589	2 0.678 0.648 -0.142 10.738	R 16 0 3 0.104 0.121 -0.550 -5.473	4 -0.709 -0.705 0.755 -2.141
L 27 1 1 -0.407 -0.397 0.074 -3.521	2 0.677 0.644 -0.142 11.987	R 17 0 3 0.095 0.108 -0.528 -3.943	4 -0.692 -0.695 0.471 0.400
L 28 1 1 -0.403 -0.394 0.119 -3.574	2 0.677 0.641 -0.108 12.804	R 18 0 3 0.085 0.096 -0.267 -2.018	4 -0.673 -0.685 0.380 2.730
L 29 1 1 -0.400 -0.391 0.119 -3.433	2 0.677 0.638 -0.074 13.473	R 18 0 3 0.085 0.087 -0.267 -0.980	4 -0.653 -0.672 0.301 -0.303
L 30 1 1 -0.397 -0.389 0.040 -2.897	2 0.676 0.637 -0.017 13.552	R 19 0 3 0.075 0.079 -0.255 -1.508	4 -0.653 -0.654 0.516 0.734
L 30 1 1 -0.397 -0.388 0.051 -3.099	2 0.675 0.636 0.006 13.516	R 20 0 3 0.065 0.073 -0.244 -2.105	4 -0.632 -0.643 0.709 2.273
L 31 1 1 -0.393 -0.388 0.040 -1.991	2 0.675 0.637 0.028 13.305	R 21 0 3 0.054 0.068 -0.108 -2.440	4 -0.610 -0.624 0.687 2.888
L 32 1 1 -0.390 -0.387 -0.017 -0.927	2 0.674 0.638 -0.006 12.963	R 21 0 3 0.054 0.060 -0.221 -2.185	4 -0.588 -0.605 0.358 -1.631
L 33 1 1 -0.386 -0.387 0.006 -0.092	2 0.674 0.638 -0.028 12.567	R 22 0 3 0.044 0.053 -0.244 -3.213	4 -0.588 -0.587 0.675 0.145
L 33 1 1 -0.386 -0.387 0.028 0.136	2 0.673 0.638 -0.040 12.462	R 23 0 3 0.034 0.047 -0.267 -4.022	4 -0.565 -0.573 0.709 1.552
L 34 1 1 -0.383 -0.385 0.176 0.549	2 0.673 0.637 0.006 12.488	R 24 0 3 0.024 0.041 -0.210 -3.565	4 -0.541 -0.556 0.619 3.354
L 35 1 1 -0.379 -0.384 0.040 1.314	2 0.673 0.636 -0.051 12.734	R 24 0 3 0.024 0.030 -0.380 -2.088	4 -0.517 -0.537 0.448 -0.875
L 36 1 1 -0.376 -0.383 -0.006 2.158	2 0.672 0.635 -0.051 12.822	R 25 0 3 0.014 0.020 -0.312 -2.105	4 -0.517 -0.516 0.732 0.198
L 36 1 1 -0.376 -0.382 -0.017 2.105	2 0.672 0.634 -0.017 13.103	R 26 0 3 0.004 0.013 -0.255 -2.431	4 -0.494 -0.504 0.641 2.273
L 37 1 1 -0.373 -0.382 -0.006 3.169	2 0.672 0.633 -0.051 13.349	R 27 0 3 -0.005 0.006 -0.187 -1.710	4 -0.470 -0.488 0.778 4.004
L 38 1 1 -0.370 -0.382 -0.040 4.295	2 0.671 0.633 0.006 13.385	R 27 0 3 -0.005 -0.001 -0.210 -1.086	4 -0.447 -0.466 0.482 -1.042
L 39 1 1 -0.366 -0.382 0.017 5.200	2 0.671 0.633 -0.051 13.376	R 28 0 3 -0.013 -0.007 -0.153 -1.965	4 -0.447 -0.446 0.619 0.154
L 39 1 1 -0.366 -0.382 -0.006 5.437	2 0.670 0.633 0.017 13.349	R 29 0 3 -0.020 -0.011 -0.187 -2.782	4 -0.424 -0.434 0.641 2.132
L 40 1 1 -0.363 -0.381 -0.006 6.378	2 0.670 0.632 -0.006 13.349	R 30 0 3 -0.027 -0.015 -0.131 -2.809	4 -0.402 -0.418 0.585 3.635
L 41 1 1 -0.360 -0.381 0.006 7.451	2 0.670 0.632 -0.028 13.411	R 30 0 3 -0.027 -0.020 -0.221 -2.457	4 -0.381 -0.399 0.437 -0.585
L 42 1 1 -0.356 -0.381 0.006 8.092	2 0.670 0.631 -0.062 13.666	R 31 0 3 -0.033 -0.026 -0.210 -2.545	4 -0.381 -0.380 0.585 0.207
L 42 1 1 -0.356 -0.379 0.051 7.952	2 0.669 0.629 -0.062 14.229	R 32 0 3 -0.038 -0.031 -0.210 -2.193	4 -0.360 -0.370 0.596 2.026
L 43 1 1 -0.353 -0.378 0.028 8.593	2 0.669 0.628 -0.040 14.659	R 33 0 3 -0.042 -0.035 -0.131 -1.508	4 -0.341 -0.355 0.505 3.670
L 44 1 1 -0.350 -0.376 0.051 9.138	2 0.669 0.625 -0.074 15.301	R 33 0 3 -0.042 -0.039 -0.131 -1.156	4 -0.322 -0.340 0.369 0.092
