1 -0.269 0.471 2.167	2 -0.215 0.233 0.514
1 -0.254 0.448 1.332	2 -0.206 0.414 0.558
1 -0.240 0.539 1.710	2 -0.193 0.505 -0.066
1 -0.226 0.494 1.015	2 -0.181 0.380 -0.365
1 -0.211 0.562 1.710	2 -0.172 0.244 -0.286
1 -0.196 0.494 1.209	2 -0.163 0.358 0.558
1 -0.181 0.550 1.578	2 -0.152 0.460 0.215
1 -0.167 0.482 1.235	2 -0.139 0.460 0.136
1 -0.153 0.505 1.569	2 -0.125 0.448 -0.374
1 -0.138 0.448 1.121	2 -0.115 0.312 -0.031
1 -0.125 0.471 1.051	2 -0.105 0.323 -0.136
1 -0.112 0.392 0.611	2 -0.096 0.369 0.171
1 -0.102 0.346 0.857	2 -0.084 0.335 -0.479
1 -0.094 0.221 0.523	2 -0.078 0.176 -0.180
1 -0.087 0.187 0.989	2 -0.072 0.233 -0.259
1 -0.083 0.119 1.033	2 -0.065 0.187 -0.145
1 -0.079 0.062 1.516	2 -0.061 0.131 -0.277
1 -0.076 0.096 1.367	2 -0.059 0.062 0.057
1 -0.074 0.040 1.631	2 -0.057 0.062 0.127
1 -0.072 0.085 1.429	2 -0.057 0.006 0.277
1 -0.071 0.017 1.464	2 -0.057 0.017 0.312
1 -0.071 -0.006 1.587	2 -0.055 0.062 0.057
1 -0.072 -0.017 1.692	2 -0.053 0.040 -0.286
1 -0.072 0.006 1.648	2 -0.053 -0.017 -0.286
1 -0.072 0.017 1.692	2 -0.053 0.028 -0.374
1 -0.072 -0.006 1.771	2 -0.053 -0.017 -0.497
1 -0.072 -0.017 2.193	2 -0.053 -0.028 -0.734
1 -0.071 0.006 2.422	2 -0.054 -0.074 -1.182
1 -0.069 0.119 2.844	2 -0.058 -0.221 -0.813
1 -0.065 0.142 2.738	2 -0.062 -0.165 -0.963
1 -0.060 0.244 2.826	2 -0.069 -0.267 -0.945
1 -0.052 0.301 2.580	2 -0.077 -0.312 -1.059
1 -0.042 0.380 2.659	2 -0.087 -0.392 -0.593
1 -0.030 0.380 2.053	2 -0.097 -0.380 -0.927
1 -0.018 0.460 2.185	2 -0.108 -0.358 -0.831
1 -0.006 0.358 1.886	2 -0.118 -0.380 -1.244
1 0.007 0.494 2.026	2 -0.131 -0.528 -0.963
1 0.019 0.437 1.754	2 -0.146 -0.505 -1.095
1 0.032 0.482 2.334	2 -0.161 -0.539 -0.523
1 0.045 0.448 1.833	2 -0.174 -0.403 -0.954
1 0.059 0.494 2.475	2 -0.186 -0.414 -0.655
1 0.072 0.437 1.877	2 -0.198 -0.426 -1.262
1 0.086 0.516 2.026	2 -0.211 -0.448 -0.752
1 0.098 0.437 1.481	2 -0.223 -0.414 -0.936
1 0.110 0.403 1.622	2 -0.234 -0.392 -0.708
1 0.120 0.289 1.314	2 -0.242 -0.255 -0.989
