1 0 1 -0.554 -0.673 -0.006 -13.349	2 0.742 0.640 0.028 -16.734	3 0.554 0.636 -0.006 -15.530	4 -0.742 -0.604 0.006 9.727
2 0 1 -0.554 -0.673 -0.176 -13.376	2 0.742 0.640 -0.176 -16.734	3 0.554 0.636 -0.017 -15.538	4 -0.742 -0.604 -0.051 9.736
2 0 1 -0.554 -0.673 -0.017 -13.349	2 0.742 0.640 0.017 -16.752	3 0.554 0.636 0.017 -15.547	4 -0.742 -0.604 -0.017 9.727
3 0 1 -0.554 -0.673 -0.176 -13.367	2 0.742 0.640 -0.006 -16.743	3 0.554 0.636 0.006 -15.556	4 -0.742 -0.604 0.176 9.727
4 0 1 -0.554 -0.673 0.017 -13.332	2 0.742 0.640 0.017 -16.743	3 0.554 0.636 -0.006 -15.618	4 -0.742 -0.604 -0.017 9.745
5 0 1 -0.554 -0.673 -0.176 -13.226	2 0.742 0.640 0.017 -16.752	3 0.554 0.636 0.006 -15.600	4 -0.742 -0.604 0.176 9.719
5 0 1 -0.554 -0.673 0.028 -13.314	2 0.741 0.640 -0.176 -16.778	3 0.554 0.636 -0.006 -15.591	4 -0.741 -0.604 -0.017 9.807
6 0 1 -0.554 -0.673 -0.176 -13.305	2 0.741 0.640 -0.006 -16.796	3 0.553 0.636 0.006 -15.618	4 -0.741 -0.604 -0.017 9.798
7 0 1 -0.553 -0.673 -0.176 -13.191	2 0.741 0.640 0.017 -16.822	3 0.553 0.635 -0.028 -15.670	4 -0.741 -0.604 -0.028 9.789
8 0 1 -0.553 -0.673 -0.176 -13.121	2 0.741 0.640 -0.176 -16.892	3 0.553 0.635 -0.017 -15.723	4 -0.741 -0.604 -0.028 9.868
8 0 1 -0.553 -0.673 -0.176 -13.103	2 0.741 0.640 0.017 -16.927	3 0.552 0.636 -0.006 -15.881	4 -0.741 -0.604 0.006 9.947
9 0 1 -0.552 -0.673 -0.176 -13.024	2 0.741 0.640 0.017 -16.963	3 0.552 0.635 -0.028 -15.916	4 -0.740 -0.604 -0.040 9.991
10 0 1 -0.552 -0.673 -0.017 -12.831	2 0.740 0.640 0.017 -17.024	3 0.552 0.635 -0.006 -16.013	4 -0.740 -0.604 0.176 9.991
11 0 1 -0.551 -0.673 0.017 -12.796	2 0.740 0.640 -0.017 -17.077	3 0.551 0.635 -0.017 -16.171	4 -0.740 -0.604 0.006 10.070
11 0 1 -0.551 -0.673 -0.176 -12.743	2 0.739 0.640 0.017 -17.130	3 0.550 0.635 -0.028 -16.321	4 -0.739 -0.604 -0.028 10.202
12 0 1 -0.550 -0.673 -0.028 -12.523	2 0.739 0.640 -0.006 -17.200	3 0.548 0.635 -0.028 -16.409	4 -0.738 -0.603 0.006 10.308
13 0 1 -0.548 -0.673 -0.176 -12.259	2 0.738 0.640 0.017 -17.367	3 0.548 0.635 -0.017 -16.532	4 -0.738 -0.604 -0.040 10.325
14 0 1 -0.547 -0.673 -0.017 -12.084	2 0.738 0.640 0.028 -17.473	3 0.547 0.635 -0.051 -16.787	4 -0.738 -0.603 -0.028 10.457
14 0 1 -0.547 -0.673 0.017 -12.004	2 0.737 0.640 -0.176 -17.552	3 0.545 0.635 0.006 -17.033	4 -0.737 -0.603 0.176 10.624
15 0 1 -0.545 -0.673 -0.176 -11.749	2 0.737 0.640 0.028 -17.684	3 0.543 0.635 0.017 -17.200	4 -0.735 -0.603 -0.017 10.782
16 0 1 -0.543 -0.673 -0.176 -11.389	2 0.735 0.640 -0.006 -17.859	3 0.543 0.635 -0.006 -17.376	4 -0.734 -0.603 -0.028 10.818
17 0 1 -0.541 -0.673 -0.176 -11.073	2 0.734 0.640 -0.040 18.000	3 0.541 0.634 -0.028 -17.710	4 -0.734 -0.603 0.176 10.941
17 0 1 -0.541 -0.673 -0.017 -11.011	2 0.733 0.639 -0.028 17.912	3 0.539 0.634 -0.040 17.903	4 -0.733 -0.602 0.176 11.037
18 0 1 -0.539 -0.672 0.028 -10.580	2 0.733 0.639 -0.006 17.842	3 0.536 0.633 0.176 17.684	4 -0.731 -0.602 0.176 11.204
19 0 1 -0.536 -0.672 0.017 -10.149	2 0.731 0.639 0.006 17.631	3 0.536 0.633 -0.017 17.446	4 -0.730 -0.601 0.017 11.204
20 0 1 -0.533 -0.672 0.017 -9.754	2 0.730 0.638 -0.017 17.411	3 0.533 0.633 -0.085 17.015	4 -0.730 -0.601 0.017 11.433
20 0 1 -0.533 -0.671 0.017 -9.675	2 0.728 0.638 -0.006 17.332	3 0.530 0.632 -0.017 16.541	4 -0.728 -0.600 0.017 11.582
21 0 1 -0.530 -0.671 0.017 -9.191	2 0.728 0.637 -0.028 17.305	3 0.526 0.632 -0.040 16.347	4 -0.726 -0.599 0.028 11.679
