1 0 1 -0.554 -0.570 -0.017 2.958	2 0.742 0.752 -0.017 -1.965	3 0.554 0.549 -0.028 0.919	4 -0.742 -0.739 -0.006 -0.567
2 0 1 -0.554 -0.570 0.006 2.941	2 0.742 0.752 0.017 -1.982	3 0.554 0.549 0.017 0.910	4 -0.742 -0.739 -0.017 -0.593
2 0 1 -0.554 -0.570 -0.006 2.949	2 0.742 0.752 0.006 -1.991	3 0.554 0.549 -0.006 0.901	4 -0.742 -0.739 -0.017 -0.558
3 0 1 -0.554 -0.570 0.006 2.967	2 0.742 0.752 -0.017 -1.991	3 0.554 0.549 -0.006 0.866	4 -0.742 -0.739 -0.017 -0.549
4 0 1 -0.554 -0.570 -0.006 3.037	2 0.742 0.752 0.006 -2.000	3 0.554 0.549 0.006 0.831	4 -0.742 -0.739 -0.040 -0.567
5 0 1 -0.554 -0.570 -0.017 3.046	2 0.742 0.752 -0.017 -1.991	3 0.554 0.549 0.006 0.831	4 -0.742 -0.739 -0.028 -0.576
5 0 1 -0.554 -0.570 0.006 3.029	2 0.741 0.752 -0.006 -2.018	3 0.554 0.549 -0.006 0.840	4 -0.741 -0.739 0.017 -0.514
6 0 1 -0.554 -0.570 0.006 3.020	2 0.741 0.752 -0.028 -2.062	3 0.553 0.549 0.017 0.804	4 -0.741 -0.739 -0.017 -0.479
7 0 1 -0.553 -0.570 -0.017 3.090	2 0.741 0.752 0.006 -2.053	3 0.553 0.549 0.017 0.769	4 -0.741 -0.739 -0.006 -0.497
8 0 1 -0.553 -0.570 -0.006 3.152	2 0.741 0.752 -0.006 -2.132	3 0.553 0.549 -0.006 0.708	4 -0.741 -0.739 0.017 -0.435
8 0 1 -0.553 -0.570 -0.017 3.187	2 0.741 0.752 -0.017 -2.158	3 0.552 0.549 -0.040 0.602	4 -0.741 -0.739 -0.028 -0.382
9 0 1 -0.552 -0.570 -0.017 3.319	2 0.741 0.752 -0.006 -2.185	3 0.552 0.549 0.006 0.532	4 -0.740 -0.739 -0.006 -0.312
10 0 1 -0.552 -0.570 -0.006 3.442	2 0.740 0.752 -0.006 -2.264	3 0.552 0.549 -0.028 0.462	4 -0.740 -0.739 0.017 -0.295
11 0 1 -0.551 -0.570 -0.006 3.574	2 0.740 0.752 -0.006 -2.325	3 0.551 0.549 -0.017 0.338	4 -0.740 -0.739 -0.006 -0.233
11 0 1 -0.551 -0.570 -0.017 3.591	2 0.739 0.752 -0.017 -2.369	3 0.550 0.549 -0.017 0.171	4 -0.739 -0.739 -0.006 -0.092
