I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39
1,0.63,0.78,0.07,2,0.35,-0.78,-2.42,3,0.42,0.02,0.85,4,0.65,-0.01,13.48,1,0.64,0.76,0,2,0.27,-1.46,0,3,0.45,0,0.26,4,0.67,0,13.17,2.21,-478.299988,-10.4,-490.790009,0,-540,19.690001,-537.530029
1,0.66,0.54,-0.07,2,0.32,-0.61,-1.82,3,0.42,-0.01,0.84,4,0.65,0.01,13.46,1,0.66,0.64,0,2,0.24,-1.22,0,3,0.45,0,0.26,4,0.67,0,13.17,1.81,-472.25,-17.32,-485.399994,0,-540,19.690001,-537.530029
1,0.69,0.46,-0.45,2,0.29,-0.45,-2.47,3,0.42,0.02,0.86,4,0.65,0.03,13.42,1,0.68,0.51,0,2,0.21,-0.95,0,3,0.45,0,0.26,4,0.67,0,13.17,1.46,-467.190002,-22.59,-480.920013,0,-540,19.59,-537.580017
1,0.7,0.2,-0.52,2,0.28,-0.33,-2.63,3,0.42,0.01,0.85,4,0.65,0.03,13.44,1,0.69,0.37,0,2,0.19,-0.66,0,3,0.45,0,0.26,4,0.67,0,13.17,0.99,-463.369995,-25.83,-477.929993,0,-540,19.690001,-537.630005
1,0.71,0.1,-0.29,2,0.26,-0.26,-2.84,3,0.42,0.01,0.87,4,0.65,0.03,13.45,1,0.69,0.22,0,2,0.18,-0.36,0,3,0.45,0,0.26,4,0.67,0,13.16,0.56,-460.959991,-26.440001,-475.820007,0,-540,19.799999,-537.679993
1,0.71,-0.01,-0.13,2,0.26,-0.13,-2.83,3,0.42,0.02,0.85,4,0.65,0.01,13.45,1,0.7,0.05,0,2,0.18,-0.36,0,3,0.45,0,0.26,4,0.67,0,13.16,0.07,-460.01001,-24.92,-474.5,0,-540,19.799999,-537.679993
1,0.71,-0.03,-0.07,2,0.25,-0.11,-2.57,3,0.42,0.01,0.85,4,0.65,0.02,13.45,1,0.7,0.05,0,2,0.18,-0.04,0,3,0.45,0,0.26,4,0.67,0,13.15,0.42,-460.01001,-23.879999,-473.790009,0,-540,19.799999,-537.679993
1,0.71,-0.07,-0.17,2,0.25,0.01,-2.36,3,0.42,0.02,0.85,4,0.65,0.02,13.45,1,0.7,-0.11,0,2,0.18,0.27,0,3,0.45,0,0.26,4,0.67,0,13.15,1.93,-460.559998,-22.790001,-473.700012,0,-540,19.59,-537.679993
1,0.71,-0.04,-0.42,2,0.25,0.02,-1.77,3,0.42,-0.02,0.86,4,0.65,0.01,13.46,1,0.69,-0.27,0,2,0.19,0.61,0,3,0.45,0,0.26,4,0.67,0,13.15,-0.81,-462.839996,-21.889999,-473.880005,0,-540,19.59,-537.679993
1,0.7,-0.04,-0.75,2,0.25,0.01,-1.75,3,0.42,0.03,0.8,4,0.65,0.01,13.44,1,0.68,-0.42,0,2,0.21,0.9,0,3,0.45,0,0.26,4,0.67,0,13.15,-1.25,-466.380005,-21.17,-473.920013,0,-540,19.59,-537.679993
1,0.7,-0.09,-1.05,2,0.26,0.11,-1.24,3,0.42,0.01,0.88,4,0.65,0.02,13.45,1,0.67,-0.55,0,2,0.24,1.17,0,3,0.45,0,0.26,4,0.67,0,13.15,-1.65,-471.179993,-20.469999,-474.51001,0,-540,19.799999,-537.679993
1,0.69,-0.15,-0.76,2,0.26,0.15,-0.43,3,0.42,0.01,0.82,4,0.65,0.01,13.45,1,0.66,-0.68,0,2,0.27,1.41,0,3,0.45,0,0.26,4,0.67,0,13.15,-2.02,-477.029999,-19.34,-475.73999,0,-540,19.799999,-537.679993
1,0.68,-0.35,-0.72,2,0.27,0.3,0.28,3,0.42,0.01,0.85,4,0.65,-0.01,13.43,1,0.64,-0.79,0,2,0.3,1.62,0,3,0.45,0,0.26,4,0.67,0,13.15,-2.42,-483.769989,-16.870001,-477.920013,0,-540,19.799999,-537.679993
1,0.67,-0.52,-0.58,2,0.29,0.46,0.63,3,0.42,0.02,0.86,4,0.65,-0.03,13.45,1,0.62,-0.88,0,2,0.3,1.62,0,3,0.45,0,0.26,4,0.67,0,13.15,-1.79,-491.119995,-13.87,-481.179993,0,-540,20,-537.669983
1,0.64,-0.64,-0.42,2,0.32,0.66,1.08,3,0.42,0.01,0.85,4,0.65,0.01,13.44,1,0.62,-0.88,0,2,0.35,1.78,0,3,0.45,0,0.26,4,0.67,0,13.15,9.36,-491.040009,-7.98,-485.980011,0,-540,19.9,-537.719971
1,0.61,-0.86,0.03,2,0.35,0.89,1.24,3,0.42,-0.01,0.82,4,0.65,0.03,13.44,1,0.59,-0.94,0,2,0.4,1.89,0,3,0.45,0,0.26,4,0.67,0,13.15,8.8,-499.440002,-0.57,-492.019989,0,-540,19.9,-537.719971
1,0.57,-1.03,0.44,2,0.39,1.08,1.3,3,0.42,-0.02,0.83,4,0.65,0.01,13.45,1,0.57,-0.96,0,2,0.44,1.93,0,3,0.45,0,0.26,4,0.67,0,13.15,-3.04,-507.220001,10.09,-499.140015,0,-540,20,-537.669983
1,0.52,-1.11,1.53,2,0.44,1.14,1.58,3,0.42,0.01,0.83,4,0.65,-0.01,13.43,1,0.55,-0.96,0,2,0.49,1.9,0,3,0.45,0,0.26,4,0.67,0,13.15,-2.99,-514.679993,21.559999,-506.690002,0,-540,20,-537.669983
1,0.48,-0.99,1.92,2,0.49,0.97,0.31,3,0.42,0.01,0.82,4,0.65,0.01,13.46,1,0.52,-0.91,0,2,0.54,1.78,0,3,0.45,0,0.26,4,0.67,0,13.15,-2.95,-521.570007,33.810001,-513.130005,0,-540,19.799999,-537.679993
1,0.44,-0.88,2.15,2,0.53,0.89,0.64,3,0.42,0.02,0.82,4,0.65,-0.02,13.46,1,0.5,-0.82,0,2,0.58,1.59,0,3,0.45,0,0.26,4,0.67,0,13.15,-2.64,-527.679993,44.599998,-518.409973,0,-540,19.799999,-537.679993
1,0.4,-0.65,2.88,2,0.56,0.66,1.24,3,0.42,0.02,0.83,4,0.65,-0.01,13.45,1,0.48,-0.69,0,2,0.61,1.31,0,3,0.45,0,0.26,4,0.67,0,13.15,-2.22,-532.75,52.990002,-522.47998,0,-540,19.799999,-537.679993
1,0.38,-0.49,2.93,2,0.59,0.49,1.6,3,0.42,0.01,0.84,4,0.65,-0.02,13.45,1,0.47,-0.51,0,2,0.61,1.31,0,3,0.45,0,0.26,4,0.67,0,13.15,-1.08,-536.559998,59.470001,-525.359985,0,-540,19.59,-537.679993
1,0.36,-0.43,2.53,2,0.61,0.44,1.78,3,0.42,0.01,0.83,4,0.65,-0.02,13.45,1,0.46,-0.3,0,2,0.64,0.95,0,3,0.45,0,0.26,4,0.67,0,13.15,-0.63,-539.02002,64.209999,-527.609985,0,-540,19.799999,-537.679993
1,0.35,-0.22,3.05,2,0.62,0.26,1.87,3,0.42,-0.01,0.86,4,0.65,0.02,13.44,1,0.46,-0.3,0,2,0.66,0.52,0,3,0.45,0,0.26,4,0.67,0,13.15,1.86,-539.02002,66.870003,-529.190002,0,-540,19.799999,-537.679993
1,0.34,-0.1,2.92,2,0.63,0.16,1.61,3,0.42,0.02,0.84,4,0.65,0.02,13.44,1,0.45,-0.07,0,2,0.67,0.03,0,3,0.45,0,0.26,4,0.67,0,13.15,0.01,-540,67.43,-530.390015,0,-540,19.799999,-537.679993
1,0.35,0.02,2.94,2,0.63,-0.01,1.2,3,0.42,0.01,0.84,4,0.65,0.02,13.44,1,0.45,0,0,2,0.67,0,0,3,0.45,0,0.26,4,0.67,0,13.15,0,-540,66.629997,-530.590027,0,-540,19.799999,-537.679993
1,0.35,0.02,2.09,2,0.63,-0.01,1.21,3,0.42,0.02,0.82,4,0.65,0.01,13.45,1,0.45,0,0,2,0.67,0,0,3,0.45,0,0.26,4,0.67,0,13.15,0,-540,66.230003,-530.640015,0,-540,20,-537.669983
1,0.35,-0.03,2.1,2,0.63,0.02,0.8,3,0.42,-0.01,0.85,4,0.65,0.01,13.44,1,0.45,0,0,2,0.67,0,0,3,0.45,0,0.26,4,0.67,0,13.15,0,-540,66.43,-530.619995,0,-540,19.799999,-537.679993
1,0.35,-0.02,2.11,2,0.63,-0.01,0.81,3,0.42,-0.02,0.86,4,0.65,0.02,13.44,1,0.45,0,0,2,0.67,0,0,3,0.45,0,0.26,4,0.67,0,13.15,0,-540,66.519997,-530.549988,0,-540,19.700001,-537.72998
1,0.35,-0.01,2.1,2,0.63,-0.03,0.8,3,0.42,0.01,0.85,4,0.65,0.01,13.44,1,0.45,0,0,2,0.67,0,0,3,0.45,0,0.26,4,0.67,0,13.15,0,-540,66.519997,-530.549988,0,-540,19.700001,-537.72998
1,0.35,0.01,2.09,2,0.63,-0.02,0.8,3,0.42,0.03,0.85,4,0.65,0.02,13.44,1,0.45,0,0,2,0.67,0,0,3,0.45,0,0.26,4,0.67,0,13.15,0,-540,66.32,-530.580017,0,-540,19.700001,-537.72998
1,0.35,-0.03,2.1,2,0.63,0.01,0.8,3,0.42,0.01,0.85,4,0.65,0.03,13.45,1,0.45,0,0,2,0.67,0,0,3,0.45,0,0.26,4,0.67,0,13.15,0,-540,66.519997,-530.549988,0,-540,19.700001,-537.72998
1,0.35,0.01,2.1,2,0.63,-0.02,0.8,3,0.42,0.01,0.86,4,0.65,0.01,13.43,1,0.45,0,0,2,0.67,0,0,3,0.45,0,0.26,4,0.67,0,13.15,0,-540,66.32,-530.580017,0,-540,19.700001,-537.72998
1,0.35,-0.01,2.1,2,0.63,-0.02,0.79,3,0.42,0.02,0.84,4,0.65,-0.01,13.43,1,0.45,0,0,2,0.67,0,0,3,0.45,0.04,0,4,0.67,-0.19,0,0,-540,66.519997,-530.549988,0.23,-539.869995,19.799999,-537.679993
1,0.35,-0.02,2.11,2,0.63,-0.01,0.8,3,0.42,-0.01,0.84,4,0.65,-0.01,13.45,1,0.45,0,0.88,2,0.67,0,13.79,3,0.45,0.27,0,4,0.66,-0.65,0,0,-540,66.43,-530.619995,1,-538.469971,19.700001,-537.72998
1,0.35,0.12,2.76,2,0.63,-0.06,0.88,3,0.42,-0.01,0.92,4,0.63,-0.18,0.89,1,0.45,0,0.89,2,0.67,0,13.8,3,0.46,0.48,0,4,0.66,-0.65,0,0,-540,65.300003,-530.599976,1.66,-535.609985,25.1,-534.530029
1,0.34,-0.6,4.01,2,0.66,0.7,12.79,3,0.43,0.19,0.84,4,0.62,-0.12,0.27,1,0.45,0,0.89,2,0.67,0,13.81,3,0.48,0.66,0,4,0.64,-1.06,0,0,-540,65.120003,-534.23999,-5.97,-535.580017,25.92,-532.669983
1,0.33,-0.02,3.23,2,0.66,0.23,13.67,3,0.43,0.11,1.56,4,0.61,-0.19,-0.66,1,0.45,0,0.77,2,0.67,0,13.4,3,0.48,0.66,0,4,0.6,-1.4,0,0,-540,64.959999,-535.419983,2.26,-531.380005,23.85,-531.820007
1,0.33,0.01,3.26,2,0.67,-0.02,13.95,3,0.44,0.23,1.84,4,0.6,-0.46,-1.17,1,0.45,0,0.82,2,0.67,0,13.4,3,0.5,0.8,0,4,0.57,-1.66,0,0,-540,65.43,-535.869995,2.66,-525.940002,23.74,-529.47998
