I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39,I40,I41,I42,I43,I44,I45
0.000000,1.200000,3.400000,0.000000,1.000000,0.699000,0.010000,0.010000,2.000000,0.208000,0.010000,0.010000,3.000000,0.348000,-0.020000,-0.040000,4.000000,0.683000,0.030000,0.010000,1.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,4.000000,300.000000,-300.000000,-8.070000,-465.880005,300.000000,-300.000000,51.930000,-539.309998
0.000000,1.200000,3.400000,0.000000,1.000000,0.430000,-0.320000,-1.040000,2.000000,0.461000,0.310000,-0.010000,3.000000,0.135000,-0.320000,-0.300000,4.000000,0.794000,0.200000,0.200000,1.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,4.000000,300.000000,-300.000000,63.759998,-505.970001,300.000000,-300.000000,139.080002,-537.609985
0.000000,1.200000,3.400000,0.000000,1.000000,0.375000,-0.010000,-0.010000,2.000000,0.513000,-0.020000,-0.010000,3.000000,0.114000,-0.010000,-0.010000,4.000000,0.817000,0.020000,0.010000,1.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,4.000000,300.000000,-300.000000,79.349998,-511.940002,300.000000,-300.000000,144.869995,-538.739990
0.000000,1.200000,3.400000,0.000000,1.000000,0.375000,0.010000,-0.010000,2.000000,0.513000,0.010000,-0.010000,3.000000,0.114000,-0.010000,0.010000,4.000000,0.817000,0.010000,0.010000,1.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,4.000000,300.000000,-300.000000,79.349998,-511.940002,300.000000,-300.000000,144.869995,-538.739990
0.000000,1.200000,3.400000,0.000000,1.000000,0.375000,-0.010000,-0.010000,2.000000,0.513000,-0.010000,0.040000,3.000000,0.114000,0.020000,0.010000,4.000000,0.817000,0.020000,-0.010000,1.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,4.000000,300.000000,-300.000000,79.349998,-511.940002,300.000000,-300.000000,144.869995,-538.739990
0.000000,1.200000,3.400000,0.000000,1.000000,0.375000,-0.020000,-0.010000,2.000000,0.513000,-0.010000,0.010000,3.000000,0.114000,-0.020000,0.010000,4.000000,0.817000,-0.010000,0.010000,1.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,4.000000,300.000000,-300.000000,79.349998,-511.940002,300.000000,-300.000000,144.869995,-538.739990
0.000000,1.200000,3.400000,0.000000,1.000000,0.375000,0.020000,-0.010000,2.000000,0.513000,-0.010000,-0.010000,3.000000,0.114000,-0.040000,0.010000,4.000000,0.817000,-0.010000,0.010000,1.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,4.000000,300.000000,-300.000000,79.349998,-511.940002,300.000000,-300.000000,144.869995,-538.739990
0.000000,1.200000,3.400000,0.000000,1.000000,0.375000,-0.030000,-0.040000,2.000000,0.513000,0.010000,-0.010000,3.000000,0.114000,0.020000,0.010000,4.000000,0.817000,0.010000,0.010000,1.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,4.000000,300.000000,-300.000000,79.349998,-511.940002,300.000000,-300.000000,144.869995,-538.739990
0.000000,1.200000,3.400000,0.000000,1.000000,0.375000,-0.010000,-0.010000,2.000000,0.513000,-0.020000,0.010000,3.000000,0.114000,-0.010000,0.010000,4.000000,0.817000,-0.020000,-0.010000,1.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,4.000000,300.000000,-300.000000,79.349998,-511.940002,300.000000,-300.000000,144.869995,-538.739990
0.000000,1.200000,3.400000,0.000000,1.000000,0.375000,0.020000,0.040000,2.000000,0.513000,-0.010000,0.300000,3.000000,0.114000,-0.010000,0.070000,4.000000,0.817000,-0.010000,0.220000,1.000000,0.375000,0.000000,0.000000,2.000000,0.513000,0.000000,0.000000,3.000000,0.114000,0.000000,0.000000,4.000000,0.817000,0.000000,0.000000,0.000000,5.000000,79.349998,-511.940002,79.349998,-511.940002,144.869995,-538.739990,144.869995,-538.739990
0.000000,1.200000,3.400000,0.000000,1.000000,0.375000,0.030000,-0.010000,2.000000,0.513000,-0.020000,0.040000,3.000000,0.114000,0.010000,0.010000,4.000000,0.817000,0.010000,-0.010000,1.000000,0.375000,0.000000,0.000000,2.000000,0.513000,0.000000,0.000000,3.000000,0.114000,0.000000,0.000000,4.000000,0.817000,0.000000,0.000000,0.000000,5.000000,79.349998,-511.940002,79.150002,-511.970001,144.869995,-538.739990,144.869995,-538.739990
0.000000,1.200000,3.400000,0.000000,1.000000,0.375000,0.010000,-0.010000,2.000000,0.513000,-0.020000,0.010000,3.000000,0.114000,-0.010000,0.010000,4.000000,0.817000,0.020000,-0.010000,1.000000,0.375000,0.000000,0.000000,2.000000,0.513000,0.000000,0.000000,3.000000,0.114000,0.000000,0.000000,4.000000,0.817000,0.000000,0.000000,0.000000,5.000000,79.349998,-511.940002,79.349998,-511.940002,144.869995,-538.739990,144.869995,-538.739990
0.000000,1.200000,3.400000,0.000000,1.000000,0.375000,-0.010000,0.040000,2.000000,0.513000,-0.010000,-0.010000,3.000000,0.114000,-0.010000,-0.010000,4.000000,0.817000,-0.020000,0.010000,1.000000,0.375000,0.000000,0.000000,2.000000,0.513000,0.000000,0.000000,3.000000,0.114000,0.000000,0.000000,4.000000,0.817000,0.000000,0.000000,0.000000,5.000000,79.349998,-511.940002,79.349998,-511.940002,144.869995,-538.739990,144.869995,-538.739990
0.000000,1.200000,3.400000,0.000000,1.000000,0.375000,-0.010000,-0.040000,2.000000,0.513000,-0.020000,0.010000,3.000000,0.114000,-0.010000,-0.010000,4.000000,0.817000,0.020000,-0.010000,1.000000,0.375000,0.000000,0.000000,2.000000,0.513000,0.000000,0.000000,3.000000,0.114000,0.000000,0.000000,4.000000,0.817000,0.000000,0.000000,0.000000,5.000000,79.349998,-511.940002,79.349998,-511.940002,144.869995,-538.739990,144.869995,-538.739990
0.000000,1.200000,3.400000,0.000000,1.000000,0.375000,-0.010000,-0.010000,2.000000,0.513000,0.010000,-0.010000,3.000000,0.114000,-0.020000,0.010000,4.000000,0.817000,0.010000,0.010000,1.000000,0.375000,0.000000,0.000000,2.000000,0.513000,0.000000,0.000000,3.000000,0.114000,0.000000,0.000000,4.000000,0.817000,0.000000,0.000000,0.000000,5.000000,79.349998,-511.940002,79.349998,-511.940002,144.869995,-538.739990,144.869995,-538.739990
0.000000,1.200000,3.400000,0.000000,1.000000,0.375000,-0.050000,-0.010000,2.000000,0.513000,0.010000,0.040000,3.000000,0.114000,-0.010000,-0.010000,4.000000,0.817000,0.030000,-0.040000,1.000000,0.375000,0.000000,0.000000,2.000000,0.513000,0.000000,0.000000,3.000000,0.114000,0.000000,0.000000,4.000000,0.817000,0.000000,0.000000,0.000000,5.000000,79.349998,-511.940002,79.349998,-511.940002,144.869995,-538.739990,144.869995,-538.739990
0.000000,1.200000,3.400000,0.000000,1.000000,0.375000,-0.010000,-0.090000,2.000000,0.513000,-0.020000,-0.010000,3.000000,0.114000,0.020000,-0.010000,4.000000,0.817000,0.030000,-0.010000,1.000000,0.375000,0.000000,0.000000,2.000000,0.513000,0.000000,0.000000,3.000000,0.114000,0.000000,0.000000,4.000000,0.817000,0.000000,0.000000,0.000000,5.000000,79.349998,-511.940002,79.349998,-511.940002,144.869995,-538.739990,144.869995,-538.739990
0.000000,1.200000,3.400000,0.000000,1.000000,0.375000,0.010000,0.070000,2.000000,0.513000,-0.020000,-0.010000,3.000000,0.114000,0.010000,-0.010000,4.000000,0.817000,0.030000,0.010000,1.000000,0.375000,0.000000,0.000000,2.000000,0.513000,0.000000,0.000000,3.000000,0.114000,0.000000,0.000000,4.000000,0.817000,0.000000,0.000000,0.000000,5.000000,79.349998,-511.940002,79.349998,-511.940002,144.869995,-538.739990,144.779999,-538.809998
0.000000,1.200000,3.400000,0.000000,1.000000,0.375000,0.020000,0.010000,2.000000,0.513000,-0.010000,0.040000,3.000000,0.114000,0.020000,0.010000,4.000000,0.817000,0.030000,-0.010000,1.000000,0.375000,0.000000,0.000000,2.000000,0.513000,0.000000,0.000000,3.000000,0.114000,0.000000,0.000000,4.000000,0.817000,0.000000,0.000000,0.000000,5.000000,79.349998,-511.940002,79.349998,-511.940002,144.779999,-538.809998,144.869995,-538.739990
0.000000,1.200000,3.400000,0.000000,1.000000,0.375000,0.010000,0.010000,2.000000,0.513000,0.010000,-0.040000,3.000000,0.114000,0.020000,0.010000,4.000000,0.817000,0.010000,0.010000,1.000000,0.375000,0.000000,0.000000,2.000000,0.513000,0.000000,0.000000,3.000000,0.114000,0.000000,0.000000,4.000000,0.817000,0.000000,0.000000,0.000000,5.000000,79.349998,-511.940002,79.150002,-511.970001,144.869995,-538.739990,144.869995,-538.739990
0.000000,1.200000,3.400000,0.000000,1.000000,0.375000,-0.010000,0.010000,2.000000,0.513000,0.010000,0.010000,3.000000,0.114000,-0.010000,-0.010000,4.000000,0.817000,-0.010000,0.010000,1.000000,0.375000,0.000000,0.000000,2.000000,0.513000,0.000000,0.000000,3.000000,0.114000,0.000000,0.000000,4.000000,0.817000,0.000000,0.000000,0.000000,5.000000,79.150002,-511.970001,79.349998,-511.940002,144.869995,-538.739990,144.869995,-538.739990
0.000000,1.200000,3.400000,0.000000,1.000000,0.375000,0.010000,0.040000,2.000000,0.513000,-0.020000,0.010000,3.000000,0.114000,0.030000,0.010000,4.000000,0.817000,0.040000,-0.010000,1.000000,0.375000,0.000000,0.000000,2.000000,0.513000,0.000000,0.000000,3.000000,0.114000,0.000000,0.000000,4.000000,0.817000,0.000000,0.000000,0.000000,5.000000,79.349998,-511.940002,79.349998,-511.940002,144.869995,-538.739990,144.869995,-538.739990
0.000000,1.200000,3.400000,0.000000,1.000000,0.375000,-0.010000,-0.010000,2.000000,0.513000,-0.010000,-0.010000,3.000000,0.114000,-0.020000,-0.010000,4.000000,0.817000,0.060000,0.010000,1.000000,0.375000,0.000000,0.000000,2.000000,0.513000,0.000000,0.000000,3.000000,0.114000,0.000000,0.000000,4.000000,0.817000,0.000000,0.000000,0.000000,5.000000,79.349998,-511.940002,79.349998,-511.940002,144.869995,-538.739990,144.779999,-538.809998
0.000000,1.200000,3.400000,0.000000,1.000000,0.375000,-0.010000,0.040000,2.000000,0.513000,-0.030000,0.010000,3.000000,0.114000,-0.020000,-0.010000,4.000000,0.817000,0.010000,-0.010000,1.000000,0.375000,0.000000,0.000000,2.000000,0.513000,0.000000,0.000000,3.000000,0.114000,0.000000,0.000000,4.000000,0.817000,0.000000,0.000000,0.000000,5.000000,79.349998,-511.940002,79.349998,-511.940002,144.779999,-538.809998,144.779999,-538.809998
0.000000,1.200000,3.400000,0.000000,1.000000,0.375000,-0.010000,-0.010000,2.000000,0.513000,0.010000,-0.010000,3.000000,0.114000,0.010000,0.010000,4.000000,0.817000,-0.010000,-0.010000,1.000000,0.375000,0.000000,0.000000,2.000000,0.513000,0.000000,0.000000,3.000000,0.114000,0.000000,0.000000,4.000000,0.817000,0.000000,0.000000,0.000000,5.000000,79.349998,-511.940002,79.349998,-511.940002,144.779999,-538.809998,144.869995,-538.739990
0.000000,1.200000,3.400000,0.000000,1.000000,0.375000,-0.010000,-0.010000,2.000000,0.513000,-0.010000,-0.010000,3.000000,0.114000,-0.030000,-0.010000,4.000000,0.817000,-0.020000,-0.010000,1.000000,0.375000,0.000000,0.000000,2.000000,0.513000,0.000000,0.000000,3.000000,0.114000,0.000000,0.000000,4.000000,0.817000,0.000000,0.000000,0.000000,5.000000,79.349998,-511.940002,79.349998,-511.940002,144.779999,-538.809998,144.869995,-538.739990
0.000000,1.200000,3.400000,0.000000,1.000000,0.375000,-0.010000,0.010000,2.000000,0.513000,-0.010000,0.010000,3.000000,0.114000,0.010000,-0.010000,4.000000,0.817000,-0.010000,0.010000,1.000000,0.375000,0.000000,0.000000,2.000000,0.513000,0.000000,0.000000,3.000000,0.114000,0.000000,0.000000,4.000000,0.817000,0.000000,0.000000,0.000000,5.000000,79.349998,-511.940002,79.349998,-511.940002,144.869995,-538.739990,144.869995,-538.739990
0.000000,1.200000,3.400000,0.000000,1.000000,0.375000,0.020000,0.040000,2.000000,0.513000,-0.010000,0.010000,3.000000,0.114000,-0.010000,0.010000,4.000000,0.817000,0.010000,-0.010000,1.000000,0.375000,0.000000,0.000000,2.000000,0.513000,0.000000,0.000000,3.000000,0.114000,0.000000,0.000000,4.000000,0.817000,0.000000,0.000000,0.000000,5.000000,79.349998,-511.940002,79.349998,-511.940002,144.869995,-538.739990,144.869995,-538.739990
0.000000,1.200000,3.400000,0.000000,1.000000,0.375000,-0.010000,-0.070000,2.000000,0.513000,0.010000,-0.010000,3.000000,0.114000,-0.010000,-0.010000,4.000000,0.817000,-0.010000,0.010000,1.000000,0.375000,0.000000,0.000000,2.000000,0.513000,0.000000,0.000000,3.000000,0.114000,0.000000,0.000000,4.000000,0.817000,0.000000,0.000000,0.000000,5.000000,79.349998,-511.940002,79.349998,-511.940002,144.869995,-538.739990,144.869995,-538.739990
0.000000,1.200000,3.400000,0.000000,1.000000,0.375000,-0.010000,-0.010000,2.000000,0.513000,-0.010000,-0.010000,3.000000,0.114000,0.020000,0.010000,4.000000,0.817000,0.010000,-0.010000,1.000000,0.375000,0.000000,0.000000,2.000000,0.513000,0.000000,0.000000,3.000000,0.114000,0.000000,0.000000,4.000000,0.817000,0.000000,0.000000,0.000000,5.000000,79.349998,-511.940002,79.349998,-511.940002,144.869995,-538.739990,144.869995,-538.739990
0.000000,1.200000,3.400000,0.000000,1.000000,0.375000,-0.020000,-0.040000,2.000000,0.513000,-0.010000,0.010000,3.000000,0.114000,0.030000,0.010000,4.000000,0.817000,-0.010000,0.010000,1.000000,0.375000,0.000000,0.000000,2.000000,0.513000,0.000000,0.000000,3.000000,0.114000,0.000000,0.000000,4.000000,0.817000,0.000000,0.000000,0.000000,5.000000,79.349998,-511.940002,79.349998,-511.940002,144.869995,-538.739990,144.869995,-538.739990
0.000000,1.200000,3.400000,0.000000,1.000000,0.375000,0.020000,0.010000,2.000000,0.513000,-0.020000,0.010000,3.000000,0.114000,-0.020000,-0.010000,4.000000,0.817000,0.020000,0.010000,1.000000,0.375000,0.000000,0.000000,2.000000,0.513000,0.000000,0.000000,3.000000,0.114000,0.000000,0.000000,4.000000,0.817000,0.000000,0.000000,0.000000,5.000000,79.349998,-511.940002,79.349998,-511.940002,144.869995,-538.739990,144.869995,-538.739990
0.000000,1.200000,3.400000,0.000000,1.000000,0.375000,0.010000,-0.040000,2.000000,0.513000,-0.010000,0.010000,3.000000,0.114000,0.020000,-0.010000,4.000000,0.817000,0.040000,-0.010000,1.000000,0.375000,0.000000,0.000000,2.000000,0.513000,0.000000,0.000000,3.000000,0.114000,0.000000,0.000000,4.000000,0.817000,0.000000,0.000000,0.000000,5.000000,79.349998,-511.940002,79.349998,-511.940002,144.869995,-538.739990,144.869995,-538.739990
0.000000,1.200000,3.400000,0.000000,1.000000,0.375000,-0.010000,0.010000,2.000000,0.513000,-0.010000,0.040000,3.000000,0.114000,-0.010000,-0.010000,4.000000,0.817000,0.020000,0.010000,1.000000,0.375000,0.000000,0.000000,2.000000,0.513000,0.000000,0.000000,3.000000,0.114000,0.000000,0.000000,4.000000,0.817000,0.000000,0.000000,0.000000,5.000000,79.349998,-511.940002,79.349998,-511.940002,144.869995,-538.739990,144.779999,-538.809998
0.000000,1.200000,3.400000,0.000000,1.000000,0.375000,-0.010000,-0.010000,2.000000,0.513000,-0.030000,-0.010000,3.000000,0.114000,0.010000,-0.010000,4.000000,0.817000,0.010000,-0.010000,1.000000,0.375000,0.000000,0.000000,2.000000,0.513000,0.000000,0.000000,3.000000,0.114000,0.000000,0.000000,4.000000,0.817000,0.000000,0.000000,0.000000,5.000000,79.349998,-511.940002,79.349998,-511.940002,144.779999,-538.809998,144.869995,-538.739990
0.000000,1.200000,3.400000,0.000000,1.000000,0.375000,0.020000,-0.010000,2.000000,0.513000,0.010000,0.010000,3.000000,0.114000,0.020000,0.010000,4.000000,0.817000,-0.010000,-0.010000,1.000000,0.375000,0.000000,0.000000,2.000000,0.513000,0.000000,0.000000,3.000000,0.114000,0.000000,0.000000,4.000000,0.817000,0.000000,0.000000,0.000000,5.000000,79.349998,-511.940002,79.349998,-511.940002,144.869995,-538.739990,144.869995,-538.739990
0.000000,1.200000,3.400000,0.000000,1.000000,0.375000,0.010000,0.010000,2.000000,0.513000,-0.010000,-0.010000,3.000000,0.114000,0.010000,0.010000,4.000000,0.817000,0.010000,0.010000,1.000000,0.375000,0.000000,0.000000,2.000000,0.513000,0.000000,0.000000,3.000000,0.114000,0.000000,0.000000,4.000000,0.817000,0.000000,0.000000,0.000000,5.000000,79.349998,-511.940002,79.349998,-511.940002,144.869995,-538.739990,144.869995,-538.739990
