I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39,I40,I41,I42,I43,I44,I45
0,1.2,3.4,0,1,0.439,-0.03,2.57,2,0.654,-0.03,6.53,3,0.446,-0.04,-0.41,4,0.675,0.03,-3.36,1,0.443,-0.08,0,2,0.667,-0.03,0,3,0.443,-0.08,0,4,0.667,-0.03,0,160,0.8,4.48,-539.799988,10.69,-537.900024,4.48,-539.799988,1.26,-540.77002
0,1.2,3.4,0,1,0.438,0.01,2.07,2,0.654,-0.02,6.29,3,0.445,-0.05,-0.99,4,0.675,-0.04,-3.47,1,0.442,-0.07,0,2,0.667,-0.04,0,3,0.442,-0.07,0,4,0.667,-0.04,0,160,0.8,5.44,-539.700012,10.69,-537.900024,5.44,-539.700012,1.47,-540.77002
0,1.2,3.4,0,1,0.438,-0.02,1.57,2,0.654,-0.02,5.89,3,0.445,-0.04,-1.44,4,0.675,-0.03,-3.84,1,0.441,-0.07,0,2,0.666,-0.04,0,3,0.441,-0.07,0,4,0.666,-0.04,0,160,0.8,6.4,-539.590027,10.89,-537.900024,6.4,-539.590027,1.68,-540.77002
0,1.2,3.4,0,1,0.438,-0.03,0.94,2,0.654,-0.01,5.55,3,0.444,-0.1,-1.36,4,0.674,-0.02,-4,1,0.439,-0.07,0,2,0.665,-0.05,0,3,0.439,-0.07,0,4,0.665,-0.05,0,160,0.8,7.36,-539.460022,10.89,-537.900024,7.36,-539.460022,2.09,-540.76001
0,1.2,3.4,0,1,0.438,-0.03,0.41,2,0.654,-0.01,5.13,3,0.442,-0.15,-1.15,4,0.674,-0.04,-4.15,1,0.438,-0.06,0,2,0.664,-0.06,0,3,0.438,-0.06,0,4,0.664,-0.06,0,160,0.8,8,-539.359985,11.1,-537.890015,8,-539.359985,3.22,-540.710022
0,1.2,3.4,0,1,0.438,-0.05,0.12,2,0.654,-0.01,4.76,3,0.44,-0.2,-0.41,4,0.673,-0.05,-4.26,1,0.437,-0.06,0,2,0.663,-0.06,0,3,0.437,-0.06,0,4,0.663,-0.06,0,160,0.8,8.96,-539.190002,11.1,-537.890015,8.96,-539.190002,4.36,-540.650024
0,1.2,3.4,0,1,0.437,-0.06,-0.25,2,0.654,-0.02,4.29,3,0.438,-0.23,0.3,4,0.673,-0.05,-4.55,1,0.436,-0.06,0,2,0.662,-0.07,0,3,0.436,-0.06,0,4,0.662,-0.07,0,160,0.8,9.91,-539.01001,11.3,-537.890015,9.91,-539.01001,6.01,-540.539978
0,1.2,3.4,0,1,0.436,-0.12,-0.41,2,0.654,0.02,3.65,3,0.435,-0.26,1.04,4,0.672,-0.07,-4.68,1,0.435,-0.05,0,2,0.66,-0.07,0,3,0.435,-0.05,0,4,0.66,-0.07,0,160,0.8,10.86,-538.809998,11.51,-537.880005,10.86,-538.809998,7.55,-540.469971
0,1.2,3.4,0,1,0.436,-0.09,-0.49,2,0.653,-0.01,3.02,3,0.432,-0.19,1.6,4,0.671,-0.12,-4.63,1,0.434,-0.05,0,2,0.659,-0.08,0,3,0.434,-0.05,0,4,0.659,-0.08,0,160,0.8,11.79,-538.590027,11.92,-537.880005,11.79,-538.590027,9.2,-540.340027
0,1.2,3.4,0,1,0.435,-0.03,-0.75,2,0.653,-0.05,2.31,3,0.43,-0.09,1.46,4,0.669,-0.09,-4.81,1,0.433,-0.05,0,2,0.657,-0.09,0,3,0.433,-0.05,0,4,0.657,-0.09,0,160,0.8,12.76,-538.349976,12.43,-537.809998,12.76,-538.349976,10.54,-540.169983
0,1.2,3.4,0,1,0.435,-0.02,-1.28,2,0.653,-0.01,1.65,3,0.43,-0.01,1.2,4,0.667,-0.18,-4.34,1,0.432,-0.04,0,2,0.656,-0.09,0,3,0.432,-0.04,0,4,0.656,-0.09,0,160,0.8,13.68,-538.090027,12.64,-537.809998,13.68,-538.090027,11.15,-539.960022
0,1.2,3.4,0,1,0.435,-0.02,-1.62,2,0.653,-0.04,0.86,3,0.43,-0.01,0.88,4,0.665,-0.23,-3.76,1,0.431,-0.04,0,2,0.654,-0.1,0,3,0.431,-0.04,0,4,0.654,-0.1,0,160,0.8,14.61,-537.820007,12.64,-537.809998,14.61,-537.820007,11.66,-539.700012
0,1.2,3.4,0,1,0.435,-0.04,-1.89,2,0.653,-0.03,0.07,3,0.43,-0.06,0.57,4,0.662,-0.27,-3.36,1,0.431,-0.04,0,2,0.652,-0.11,0,3,0.431,-0.04,0,4,0.652,-0.11,0,160,0.8,15.55,-537.52002,12.74,-537.76001,15.55,-537.52002,12.37,-539.330017
0,1.2,3.4,0,1,0.435,-0.09,-1.78,2,0.652,-0.03,-0.78,3,0.43,-0.06,0.41,4,0.659,-0.3,-2.6,1,0.43,-0.03,0,2,0.65,-0.11,0,3,0.43,-0.03,0,4,0.65,-0.11,0,160,0.8,16.469999,-537.210022,12.94,-537.75,16.469999,-537.210022,13.39,-538.909973
0,1.2,3.4,0,1,0.432,-0.11,-1.31,2,0.652,-0.02,-1.86,3,0.429,-0.06,1.04,4,0.653,-0.19,-1.78,1,0.43,-0.03,0,2,0.65,-0.11,0,3,0.43,-0.03,0,4,0.65,-0.11,0,160,0.8,16.469999,-537.210022,13.25,-537.690002,16.469999,-537.210022,14.82,-538.460022
