I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39
1,0.31,-0.02,3.81,2,0.68,0.01,13,3,0.39,0.03,0.64,4,0.64,-0.03,0.77,1,0.45,0,-1.62,2,0.67,0,5.49,3,0.45,0,0.86,4,0.67,0,3.58,0,-540,74.709999,-536.109985,0,-540,37.919998,-534.960022
1,0.31,-0.05,3.88,2,0.68,0.01,12.94,3,0.4,0.03,2,4,0.65,0.04,4.16,1,0.45,0,-3.28,2,0.67,0,1.08,3,0.45,0,3.66,4,0.67,0,10.97,0,-540,74.620003,-536.169983,0,-540,35.82,-535.880005
1,0.31,0.11,1.02,2,0.67,-0.14,5.58,3,0.4,0.02,4.96,4,0.65,-0.07,4.25,1,0.45,0,0,2,0.67,0,1.08,3,0.45,0,1.96,4,0.67,0,13.17,0,-540,75.419998,-535.210022,0,-540,31.940001,-536.119995
1,0.31,0.12,-0.64,2,0.66,-0.16,1.45,3,0.4,-0.23,3.45,4,0.66,0.18,10.91,1,0.45,0,0,2,0.67,0,0,3,0.45,0,0.47,4,0.67,0,13.36,0,-540,76.959999,-533.630005,0,-540,32.73,-537.349976
1,0.32,0.28,2.1,2,0.65,-0.37,0.84,3,0.39,-0.02,3.13,4,0.67,0.13,13.07,1,0.45,0,0,2,0.67,0,0,3,0.45,0,0.38,4,0.67,0,13.19,0,-540,73.120003,-532.840027,0,-540,31.98,-538.599976
1,0.33,0.24,1.96,2,0.64,-0.16,0.73,3,0.39,0.01,1.62,4,0.67,0.01,13.5,1,0.45,0,0,2,0.67,0,0,3,0.45,0,0.39,4,0.67,0,13.07,0,-540,70.029999,-532.179993,0,-540,33.860001,-538.890015
1,0.34,0.09,2.18,2,0.64,-0.05,0.67,3,0.39,0.02,1.64,4,0.67,-0.02,13.22,1,0.45,0,0,2,0.67,0,0,3,0.45,0,0.44,4,0.67,0,13.05,0,-540,67.709999,-531.76001,0,-540,33.75,-538.840027
1,0.34,-0.04,2.24,2,0.64,0.01,0.61,3,0.39,-0.02,1.66,4,0.67,0.02,13.08,1,0.45,0,0,2,0.67,0,0,3,0.45,0,0.44,4,0.67,0,13.05,0,-540,66.870003,-531.650024,0,-540,33.950001,-538.72998
1,0.34,-0.01,2.18,2,0.64,0.01,0.63,3,0.39,0.02,1.69,4,0.67,0.02,13.09,1,0.45,0,0,2,0.67,0,0,3,0.45,0,0.44,4,0.67,0,13.06,0,-540,67.07,-531.630005,0,-540,33.959999,-538.830017
1,0.34,-0.01,2.2,2,0.64,0.01,0.65,3,0.39,-0.03,1.71,4,0.67,-0.03,13.09,1,0.45,0.19,-1.44,2,0.66,-0.46,-0.72,3,0.45,0,0.44,4,0.67,0,13.07,0.47,-539.27002,67.07,-531.630005,0,-540,34.369999,-538.809998
1,0.34,0.01,2.18,2,0.64,-0.01,0.64,3,0.39,-0.01,1.72,4,0.67,-0.02,13.09,1,0.46,0.41,-1.44,2,0.66,-0.46,-0.72,3,0.45,0,0.44,4,0.67,0,13.06,0.96,-537.01001,66.870003,-531.650024,0,-540,34.369999,-538.809998
1,0.34,0.09,2.01,2,0.63,-0.09,-0.51,3,0.39,0.01,1.65,4,0.67,0.01,13.12,1,0.46,0.41,-1.44,2,0.65,-0.89,-0.7,3,0.45,0,0.45,4,0.67,0,13.06,-5.77,-536.97998,66.919998,-531.280029,0,-540,34.16,-538.820007
1,0.35,0.16,2.34,2,0.63,-0.18,-1.33,3,0.39,0.03,1.66,4,0.67,0.01,13.09,1,0.47,0.6,-1.43,2,0.62,-1.28,-0.68,3,0.45,0,0.45,4,0.67,0,13.06,-6.99,-533.01001,65.93,-530.72998,0,-540,34.060001,-538.77002
1,0.36,0.33,2.24,2,0.62,-0.37,-2.11,3,0.39,0.03,1.68,4,0.67,0.04,13.09,1,0.49,0.75,-1.42,2,0.58,-1.58,-0.64,3,0.45,0,0.45,4,0.67,0,13.07,2.67,-527.960022,63.189999,-529.330017,0,-540,33.849998,-538.789978
1,0.38,0.6,2.03,2,0.59,-0.69,-2.41,3,0.39,-0.02,1.71,4,0.67,-0.02,13.1,1,0.51,0.87,-1.38,2,0.54,-1.78,-0.6,3,0.45,0,0.44,4,0.67,0,13.06,2.94,-521.880005,57.18,-526.700012,0,-540,33.849998,-538.789978
1,0.41,0.75,1.89,2,0.56,-0.72,-1.67,3,0.39,-0.02,1.71,4,0.67,0.04,13.09,1,0.53,0.94,-1.31,2,0.49,-1.89,-0.53,3,0.45,0,0.44,4,0.67,0,13.06,3,-514.969971,48.540001,-523.299988,0,-540,33.849998,-538.789978
1,0.45,0.82,0.91,2,0.53,-0.82,-1.96,3,0.39,0.02,1.68,4,0.67,0.01,13.09,1,0.56,0.96,-1.31,2,0.45,-1.93,-0.53,3,0.45,0,0.44,4,0.67,0,13.06,3.05,-507.570007,39.360001,-518.890015,0,-540,34.060001,-538.77002
1,0.48,0.85,0.58,2,0.49,-0.88,-2.35,3,0.39,-0.01,1.73,4,0.67,0.01,13.1,1,0.58,0.95,-1.15,2,0.4,-1.89,-0.43,3,0.45,0,0.44,4,0.67,0,13.06,2.96,-499.76001,29.92,-513.840027,0,-540,34.060001,-538.77002
1,0.52,0.86,0.16,2,0.45,-0.9,-2.62,3,0.39,0.01,1.72,4,0.67,0.01,13.08,1,0.6,0.91,-0.96,2,0.4,-1.89,-0.43,3,0.45,0,0.44,4,0.67,0,13.06,2.79,-491.910004,20.559999,-508.26001,0,-540,33.959999,-538.830017
1,0.56,0.83,0.02,2,0.41,-0.94,-2.59,3,0.39,-0.01,1.71,4,0.67,0.03,13.09,1,0.6,0.91,-0.96,2,0.35,-1.79,-0.32,3,0.45,0,0.44,4,0.67,0,13.06,2.51,-484.420013,11.68,-502,0,-540,34.16,-538.820007
1,0.59,0.83,-0.17,2,0.37,-0.9,-2.57,3,0.39,-0.03,1.67,4,0.67,0.01,13.09,1,0.63,0.84,-0.4,2,0.31,-1.63,-0.04,3,0.45,0,0.44,4,0.67,0,13.06,-7.16,-484.369995,3.59,-495.640015,0,-540,34.16,-538.820007
1,0.63,0.69,0,2,0.34,-0.78,-2.4,3,0.39,0.01,1.7,4,0.67,0.03,13.08,1,0.65,0.74,-0.22,2,0.27,-1.43,0.05,3,0.45,0,0.44,4,0.67,0,13.06,2.15,-477.5,-4.77,-489.690002,0,-540,33.959999,-538.830017
1,0.66,0.64,-0.15,2,0.31,-0.61,-2.53,3,0.39,0.01,1.72,4,0.67,0.01,13.08,1,0.66,0.63,-0.07,2,0.24,-1.19,0.13,3,0.45,0,0.44,4,0.67,0,13.06,1.75,-471.579987,-12.2,-484.410004,0,-540,33.959999,-538.830017
1,0.68,0.45,-0.13,2,0.29,-0.49,-2.13,3,0.39,-0.02,1.71,4,0.67,0.04,13.07,1,0.68,0.5,0.09,2,0.21,-0.92,0.2,3,0.45,0,0.44,4,0.67,0,13.06,1.36,-466.720001,-17.959999,-480.01001,0,-540,34.16,-538.820007
1,0.7,0.35,-0.23,2,0.27,-0.31,-2.39,3,0.39,0.02,1.72,4,0.67,-0.03,13.08,1,0.69,0.35,0.23,2,0.19,-0.63,0.27,3,0.45,0,0.44,4,0.67,0,13.06,0.97,-463,-22.120001,-476.730011,0,-540,34.16,-538.820007
1,0.71,0.16,-0.26,2,0.26,-0.14,-2.62,3,0.39,0.02,1.67,4,0.67,0.02,13.06,1,0.69,0.19,0.25,2,0.18,-0.32,0.25,3,0.45,0,0.44,4,0.67,0,13.06,0.33,-460.769989,-24.209999,-474.820007,0,-540,34.16,-538.820007
1,0.71,-0.04,0.15,2,0.26,-0.04,-2.61,3,0.39,-0.01,1.69,4,0.67,-0.01,13.09,1,0.7,0.03,0.36,2,0.18,-0.32,0.25,3,0.45,0,0.44,4,0.67,0,13.06,0.03,-460,-25,-474.290009,0,-540,34.369999,-538.809998
1,0.71,-0.03,0.08,2,0.26,-0.03,-2.5,3,0.39,0.03,1.67,4,0.67,-0.03,13.08,1,0.7,-0.13,0.46,2,0.18,0.02,0.3,3,0.45,0,0.44,4,0.67,0,13.06,-0.44,-460.880005,-24.719999,-474.230011,0,-540,34.16,-538.820007
1,0.71,-0.03,0.03,2,0.26,0.02,-2.04,3,0.39,0.05,1.66,4,0.67,-0.01,13.07,1,0.7,-0.13,0.46,2,0.18,0.34,0.34,3,0.45,0,0.45,4,0.67,0,13.06,1.97,-460.880005,-24.809999,-474.299988,0,-540,33.959999,-538.830017
1,0.71,-0.02,-0.14,2,0.26,-0.01,-1.35,3,0.39,0.01,1.69,4,0.67,0.02,13.07,1,0.69,-0.29,0.46,2,0.19,0.65,0.32,3,0.45,0,0.44,4,0.67,0,13.06,3.29,-463.23999,-24.73,-474.369995,0,-540,33.959999,-538.830017
1,0.71,-0.07,-0.39,2,0.26,0.06,-0.71,3,0.39,0.01,1.69,4,0.67,0.01,13.09,1,0.68,-0.44,0.46,2,0.21,0.94,0.29,3,0.45,0,0.44,4,0.67,0,13.06,-1.29,-466.98999,-24.66,-474.869995,0,-540,33.959999,-538.830017
1,0.7,-0.06,-0.72,2,0.26,0.11,-0.9,3,0.39,0.01,1.71,4,0.67,0.02,13.06,1,0.67,-0.57,0.47,2,0.24,1.21,0.26,3,0.45,0,0.44,4,0.67,0,13.06,-1.79,-472.01001,-22.969999,-475.579987,0,-540,34.16,-538.820007
1,0.69,-0.21,-0.88,2,0.27,0.2,-0.28,3,0.39,-0.02,1.7,4,0.67,0.01,13.08,1,0.65,-0.7,0.47,2,0.27,1.45,0.22,3,0.45,0,0.44,4,0.67,0,13.06,-2.1,-478.049988,-20.940001,-476.98999,0,-540,34.369999,-538.809998
1,0.68,-0.29,-0.43,2,0.28,0.32,0.35,3,0.39,0.01,1.76,4,0.67,-0.01,13.09,1,0.63,-0.8,0.48,2,0.31,1.65,0.19,3,0.45,0,0.44,4,0.67,0,13.06,-2.45,-484.950012,-19.040001,-479.559998,0,-540,34.57,-538.789978
1,0.67,-0.45,-0.38,2,0.3,0.53,0.84,3,0.39,-0.03,1.78,4,0.67,0.03,13.06,1,0.61,-0.89,0.48,2,0.35,1.8,0.15,3,0.45,0,0.45,4,0.67,0,13.06,-1.83,-492.429993,-15.85,-482.820007,0,-540,34.880001,-538.820007
1,0.64,-0.65,-0.04,2,0.33,0.66,1.38,3,0.39,-0.01,1.75,4,0.67,0.02,13.06,1,0.59,-0.94,0.32,2,0.35,1.8,0.15,3,0.45,0,0.45,4,0.67,0,13.06,-2.9,-500.820007,-10.42,-487.540009,0,-540,34.880001,-538.820007
1,0.61,-0.82,0.19,2,0.36,0.8,1.6,3,0.39,0.02,1.69,4,0.67,-0.01,13.07,1,0.59,-0.94,0.32,2,0.4,1.9,0.03,3,0.45,0,0.45,4,0.67,0,13.06,8.91,-500.75,-2.55,-493.51001,0,-540,34.880001,-538.820007
1,0.57,-1.02,0.67,2,0.4,1.03,1.59,3,0.39,-0.01,1.71,4,0.67,0.02,13.07,1,0.57,-0.96,0.21,2,0.45,1.93,-0.04,3,0.45,0,0.45,4,0.67,0,13.06,6.19,-508.48999,7.44,-500.450012,0,-540,34.880001,-538.820007
